,Invalid
0,597417984
1,854027703
2,597417986
3,854027704
4,400089096
5,400089097
6,400089098
7,400089099
8,854027705
9,16394
10,400089104
11,400089105
12,382656531
13,426827797
14,656343062
15,656343063
16,656343064
17,656343065
18,430776347
19,430776348
20,491085852
21,491085853
22,491085858
23,430776356
24,491085861
25,853983271
26,996378417
27,877658161
28,996378418
29,491085877
30,491085878
31,996378419
32,672063550
33,672063551
34,400089156
35,400089157
36,400089164
37,491085916
38,491085919
39,346062946
40,346062947
41,346062948
42,346062949
43,346062950
44,346062951
45,346062953
46,346062954
47,491085940
48,535478388
49,491085942
50,400089207
51,680665207
52,400089209
53,680665208
54,400089211
55,400089212
56,680665209
57,400089225
58,400089227
59,57484
60,57483
61,57485
62,57486
63,57490
64,57492
65,57493
66,403013786
67,403013787
68,403013788
69,623861920
70,623861921
71,41120
72,41122
73,41121
74,870678693
75,623861926
76,870678695
77,41127
78,41123
79,65700
80,41131
81,65699
82,870678710
83,426787016
84,426787018
85,426787019
86,451756238
87,451756239
88,451756241
89,426787027
90,640991443
91,640991444
92,546267363
93,546267364
94,546267365
95,558489837
96,558489838
97,33007
98,400089334
99,400089335
100,400089337
101,400089339
102,400089340
103,400089343
104,426787074
105,426787076
106,456466695
107,456466697
108,49419
109,49420
110,49421
111,49422
112,400089363
113,400089364
114,491086106
115,491086107
116,451756317
117,451756318
118,491086112
119,992485667
120,992485668
121,451756325
122,546267430
123,546267431
124,992485672
125,992485670
126,992485671
127,992485674
128,870678829
129,870678830
130,57647
131,870678832
132,65842
133,57651
134,350290229
135,350290230
136,426787127
137,350290231
138,426787129
139,350290232
140,350290233
141,350290234
142,350290235
143,350290236
144,426787126
145,350290239
146,426787128
147,640991545
148,640991546
149,640991550
150,640991552
151,8524
152,451756370
153,451756371
154,599417189
155,599417190
156,599417191
157,599417194
158,599417197
159,801448304
160,801448308
161,24949
162,456466806
163,456466807
164,456466808
165,456466809
166,24950
167,456466813
168,24958
169,456466815
170,456466816
171,815014319
172,992485809
173,426787264
174,426787265
175,426787266
176,426787268
177,426787269
178,426787274
179,426787275
180,482214349
181,356884947
182,356884948
183,356884951
184,356884952
185,356884953
186,356884954
187,356884955
188,356884956
189,801448415
190,850665960
191,850665961
192,694780411
193,694780412
194,495837700
195,495837702
196,49670
197,49679
198,807756310
199,807756311
200,807756312
201,807756316
202,451756586
203,451756590
204,451756592
205,451756594
206,378618435
207,378618436
208,378618438
209,378618442
210,491184725
211,491184726
212,491184728
213,382665306
214,491184731
215,850666076
216,850666077
217,491184738
218,47342
219,815014511
220,815014512
221,815014513
222,815014514
223,815014515
224,25202
225,25207
226,572605048
227,572605049
228,356811386
229,572605050
230,356811388
231,356811389
232,356811390
233,356811391
234,572605051
235,356811393
236,811786878
237,811786881
238,356811396
239,811786882
240,811786886
241,349782669
242,349782670
243,349782671
244,349782672
245,349782673
246,349782674
247,349782675
248,349782676
249,349782677
250,349782678
251,17047
252,17044
253,17045
254,17050
255,17043
256,17046
257,378618533
258,378618534
259,378618536
260,378618538
261,338125483
262,338125484
263,338125485
264,338125486
265,338125487
266,338125488
267,338125489
268,338125490
269,378618544
270,338125492
271,665363121
272,665363122
273,694747822
274,726205103
275,726205105
276,732291767
277,732291768
278,572605116
279,732291769
280,732291771
281,824844986
282,723100352
283,824844990
284,572605122
285,540566211
286,356811460
287,356811461
288,723100354
289,356811463
290,356811464
291,356811465
292,356811466
293,356811467
294,440959692
295,356811469
296,356811470
297,356811471
298,440959695
299,540566225
300,343237331
301,343237333
302,343237335
303,561767128
304,343237337
305,561767129
306,716432088
307,343237340
308,785769175
309,811786967
310,811786968
311,343237344
312,378618593
313,378618594
314,343237347
315,343237348
316,343237349
317,378618598
318,378618599
319,343237350
320,343237351
321,346071786
322,378618603
323,346071787
324,346071788
325,346071789
326,346071790
327,346071791
328,346071792
329,346071793
330,346071795
331,346071796
332,785769197
333,435593977
334,435593978
335,435593979
336,435593980
337,435593987
338,824820491
339,824820494
340,723100432
341,723100433
342,723100434
343,723100435
344,723100436
345,592675605
346,592675606
347,592675607
348,592675608
349,592675614
350,1004675872
351,49953
352,49954
353,1004675875
354,1004675876
355,1004675873
356,853566246
357,1004675874
358,861001545
359,853566262
360,853566264
361,338125627
362,338125628
363,338125629
364,338125630
365,338125631
366,338125632
367,338125633
368,338125634
369,502563644
370,502563645
371,338125637
372,338125638
373,785769290
374,626271053
375,626271054
376,626271055
377,626271056
378,861001553
379,66388
380,378618720
381,517743460
382,723100518
383,723100519
384,723100524
385,811787127
386,540566401
387,540566402
388,540566403
389,811787139
390,811787141
391,811787143
392,811787146
393,465437585
394,17302
395,17303
396,656280129
397,17304
398,17307
399,656280130
400,810746781
401,716432308
402,517743546
403,517743547
404,517743548
405,517743551
406,540566463
407,540566464
408,707257280
409,540566467
410,707257285
411,811787209
412,811787210
413,504087499
414,517743563
415,811787211
416,811787218
417,517743574
418,476742617
419,626271195
420,626271196
421,626271197
422,397624286
423,626271198
424,397624298
425,397624299
426,66544
427,465437684
428,465437685
429,375211000
430,465437688
431,716432379
432,792134652
433,375211005
434,716432381
435,626271231
436,520201216
437,626271232
438,626271233
439,520201219
440,716432383
441,792134653
442,792134655
443,792134656
444,375211017
445,375211018
446,614163466
447,614163467
448,614163470
449,785769490
450,509346835
451,509346836
452,614163475
453,846606467
454,37815
455,829146150
456,829146151
457,829146152
458,829146153
459,435594285
460,435594286
461,614163501
462,614163502
463,614163505
464,515261491
465,515261492
466,751957840
467,824820823
468,509346914
469,509346915
470,509346916
471,509346917
472,547652706
473,547652707
474,445056124
475,445056125
476,445056126
477,515261566
478,515261567
479,515261568
480,445056133
481,515261573
482,792134796
483,792134797
484,792134798
485,469877906
486,469877907
487,469877908
488,824846913
489,435594396
490,435594397
491,435594398
492,66718
493,66716
494,66721
495,435594402
496,66717
497,66722
498,451691693
499,451691694
500,451691697
501,451691701
502,614163644
503,614163645
504,578847934
505,578847935
506,614163646
507,578847937
508,614163647
509,614163648
510,807519432
511,435594443
512,509347019
513,807519435
514,509347024
515,882009301
516,882009302
517,882009303
518,795411673
519,795411674
520,795411675
521,882009305
522,882009310
523,609486052
524,609486056
525,841164009
526,841164014
527,842794224
528,842794225
529,842794226
530,842794227
531,42224
532,1002276086
533,629703927
534,629703928
535,629703929
536,629703930
537,629703931
538,629703932
539,629703933
540,1002276088
541,1002276087
542,609486087
543,609486088
544,609486089
545,609486090
546,609486097
547,842794296
548,842794297
549,842794298
550,707257659
551,707257660
552,707257661
553,707257662
554,842794303
555,846619968
556,614163779
557,614163780
558,614163781
559,614163782
560,614163783
561,614163788
562,1001129299
563,811786969
564,451691864
565,451691865
566,451691866
567,451691867
568,445080922
569,445080921
570,445080920
571,587851098
572,587851099
573,445080929
574,587851100
575,811786971
576,792135012
577,792135013
578,792135014
579,811786972
580,792135016
581,811786973
582,785769848
583,587851130
584,587851131
585,785769850
586,614163842
587,614163844
588,614163848
589,614163850
590,451691929
591,629704112
592,629704113
593,629704114
594,629704115
595,445081029
596,445081032
597,842794448
598,842794449
599,837975344
600,67035
601,67036
602,67034
603,67038
604,67039
605,837975346
606,795411952
607,795411963
608,517810751
609,472221200
610,734725660
611,472221214
612,62184
613,62185
614,634917817
615,689292858
616,832472634
617,580904511
618,689292867
619,58965
620,472221270
621,472221271
622,472221272
623,846620250
624,472221275
625,58972
626,472221278
627,472221279
628,857130591
629,857130592
630,857130593
631,857130597
632,637614317
633,689292923
634,689292924
635,50813
636,689292926
637,50815
638,50814
639,50812
640,50817
641,26235
642,26237
643,689292934
644,50823
645,445081241
646,516073121
647,9896
648,9898
649,521807532
650,576079532
651,521807534
652,576079533
653,576079534
654,576079535
655,9900
656,842794677
657,842794678
658,842794679
659,842794680
660,576079545
661,842794681
662,647734972
