,Invalid
0,426827782
1,585152531
2,585152535
3,617984027
4,643168292
5,640882731
6,640882732
7,617984047
8,415971380
9,415971381
10,448761914
11,403013693
12,672063562
13,672063563
14,779243594
15,606648400
16,606648401
17,606648402
18,875176042
19,875176043
20,875176044
21,775475318
22,416008312
23,416008313
24,491085944
25,888959111
26,888959112
27,22672
28,550361264
29,550361265
30,745289908
31,516001978
32,745289915
33,576096444
34,516001982
35,456466625
36,51394
37,456466627
38,51396
39,69827
40,69826
41,707238087
42,69825
43,557054154
44,557054155
45,740378828
46,535478492
47,535478493
48,67809
49,67810
50,529058039
51,472166657
52,472166658
53,472166661
54,472166662
55,718723339
56,426785038
57,426785039
58,472226067
59,472226068
60,472226069
61,482214171
62,482214172
63,680257822
64,680257823
65,482214177
66,623968555
67,491184441
68,491184444
69,338868550
70,338868551
71,572688714
72,338868555
73,572688715
74,572688716
75,12620
76,12618
77,572688720
78,12625
79,485632339
80,485632349
81,461099363
82,461099364
83,461099366
84,479136109
85,479136110
86,479136115
87,523454852
88,530315656
89,530315660
90,530315661
91,723558798
92,723558799
93,561766818
94,561766819
95,476813736
96,476813737
97,667728313
98,667728316
99,579422672
100,579422673
101,579422674
102,576096724
103,576096725
104,740379107
105,801448425
106,801448426
107,801448427
108,718723569
109,718723570
110,378618374
111,378618375
112,378618376
113,378618378
114,469813770
115,378618380
116,469813771
117,698513934
118,698513935
119,469813776
120,458549783
121,458549786
122,685412895
123,685412896
124,807756322
125,807756323
126,49705
127,49706
128,49713
129,694780475
130,43580
131,694780477
132,43581
133,634972736
134,634972737
135,790147653
136,790147654
137,790147655
138,798984783
139,798984788
140,374086230
141,374086232
142,374086233
143,374086234
144,530315866
145,374086236
146,570159717
147,570159721
148,570159723
149,726205035
150,726205039
151,338125426
152,338125429
153,338125430
154,338125431
155,570159734
156,338125433
157,445008516
158,445008517
159,445008518
160,561765004
161,561765005
162,771539618
163,425857719
164,399450809
165,707056314
166,399450811
167,707056315
168,592675520
169,440959682
170,440959683
171,592675522
172,440959686
173,785769174
174,785769176
175,785769186
176,491184893
177,710515467
178,710515468
179,62227
180,726205209
181,726205210
182,726205214
183,645464866
184,680758055
185,680758056
186,601881385
187,707343154
188,677645129
189,677645130
190,760458062
191,760458063
192,760458067
193,647631700
194,647631701
195,647631704
196,768852840
197,465437547
198,465437548
199,445055865
200,445055866
201,461085565
202,461085566
203,461085567
204,885078917
205,517743501
206,407819163
207,407819165
208,407819166
209,60323
210,504087464
211,504087465
212,716432297
213,716432298
214,35754
215,504087473
216,17335
217,17336
218,17337
219,714824637
220,714824638
221,611251151
222,611251152
223,15317
224,15318
225,37849
226,614163424
227,614163425
228,367774695
229,367774697
230,367774700
231,367774701
232,367774703
233,367774710
234,705713149
235,705713150
236,705713151
237,378649602
238,534617100
239,734653454
240,775513111
241,64535
242,775513113
243,775513115
244,877730856
245,421940274
246,421940275
247,421940276
248,882009143
249,410702905
250,792134713
251,792134716
252,782154816
253,410702913
254,782154817
255,568777800
256,568777801
257,568777808
258,70744
259,70745
260,70746
261,70751
262,68704
263,669981809
264,996299921
265,996299922
266,509334675
267,509334680
268,996299932
269,509346973
270,626240686
271,626240687
272,368866480
273,368866483
274,368866486
275,391709889
276,391709895
277,547652820
278,675362028
279,675362029
280,654281974
281,654281975
282,654281976
283,654281977
284,46326
285,46327
286,451755266
287,451755267
288,509334799
289,498695444
290,498695445
291,509334806
292,383284504
293,663047461
294,804048169
295,804048170
296,804048171
297,745616687
298,804048176
299,715001169
300,715001170
301,606717268
302,606717270
303,990412136
304,990412141
305,692870524
306,692870525
307,765508991
308,765508996
309,638930310
310,638930311
311,414272919
312,795411866
313,795411868
314,795411872
315,504053153
316,695932325
317,504053159
318,695932327
319,757788075
320,757788076
321,340684212
322,340684213
323,340684214
324,340684215
325,340684216
326,340684218
327,30141
328,30142
329,30143
330,623398340
331,623398341
332,623398342
333,623398344
334,540593612
335,540593613
336,675335643
337,675335644
338,32222
339,32223
340,32228
341,520050154
342,520050156
343,654282224
344,654282225
345,654282226
346,792243698
347,792243699
348,632815114
349,632815115
350,451755543
351,451755544
352,451755545
353,392592932
354,392592936
355,434708009
356,434708010
357,750374444
358,546205240
359,546205241
360,771810888
361,663047753
362,620478026
363,620478027
364,620478028
365,663047754
366,663047755
367,771810889
368,434714196
369,434714197
370,434714198
371,434714201
372,587839090
373,587839091
374,587839097
375,587839098
376,587943550
377,587943551
378,540593793
379,587943557
380,587943558
381,467592845
382,467592846
383,467592850
384,870731415
385,870731416
386,870731418
387,734725787
388,870731423
389,370450088
390,370450089
391,370450092
392,370450093
393,370450094
394,767946414
395,400273072
396,400273076
397,479110841
398,479110842
399,479110843
400,765509307
401,765509308
402,765509309
403,40633
404,40634
405,884739781
406,884739782
407,745135816
408,745135817
409,745135822
410,745135823
411,689295077
412,650116847
413,650116848
414,650116853
415,393322231
416,393322232
417,500543226
418,393322235
419,500543232
420,500543233
421,554661632
422,554661635
423,751957764
424,751957765
425,7938
426,554661639
427,7939
428,63243
429,592750371
430,580904744
431,580904747
432,580904748
433,525625152
434,403060545
435,660830022
436,660830026
437,580851533
438,580851536
439,877657938
440,877657940
441,877657941
442,996370273
443,996370274
444,647735149
445,647735150
446,24445
447,702388109
448,702388110
449,26518
450,26520
451,892831641
452,892831642
453,65447
454,614246314
455,566384557
456,601814961
457,442492850
458,601814962
459,557053884
460,382656446
461,382656450
462,360982482
463,360982483
464,360982484
465,360982485
466,360982486
467,360982487
468,360982488
469,360982489
470,360982490
471,434716636
472,597417977
