,Invalid
0,857139202
1,857139208
2,3258
3,3259
4,3260
5,65556
6,65557
7,65558
8,65560
9,617984026
10,65563
11,572594204
12,572594205
13,65567
14,865722403
15,36
16,4133
17,617984040
18,41
19,4138
20,45
21,865722418
22,827791411
23,827791412
24,865722419
25,827791414
26,617984057
27,745289785
28,745289786
29,362973246
30,362973247
31,362973249
32,491085889
33,740350017
34,362973252
35,740350022
36,557054032
37,375183442
38,375183443
39,375183444
40,557054036
41,375183448
42,375183450
43,375183451
44,375183452
45,827699299
46,827699300
47,827363431
48,827699306
49,110
50,617984112
51,617984113
52,617984114
53,617984115
54,685422706
55,731965557
56,870678646
57,115
58,870678648
59,617984122
60,870678652
61,870678653
62,731965568
63,698431620
64,698431621
65,448761990
66,877658244
67,811481224
68,698431625
69,877658245
70,877658247
71,606648460
72,606648461
73,811481230
74,606648463
75,877658252
76,811481233
77,368866352
78,606648467
79,53388
80,53390
81,796838038
82,368866353
83,472166552
84,606648471
85,796838039
86,796838043
87,368866354
88,846606489
89,846606490
90,525625503
91,796838047
92,877658264
93,846606512
94,368866360
95,807631038
96,807631039
97,807631040
98,807631046
99,599417042
100,599417043
101,599417044
102,599417045
103,599417046
104,599417047
105,61101
106,61100
107,63699
108,63700
109,61102
110,599417053
111,63710
112,63703
113,61103
114,629797091
115,629797092
116,629797095
117,629797099
118,629797100
119,629797102
120,370419963
121,370419964
122,2299
123,370419966
124,2300
125,370419969
126,370419970
127,2306
128,2309
129,2310
130,491086087
131,400089355
132,400089358
133,491086094
134,400089361
135,807631121
136,69254
137,740378902
138,740378903
139,338868505
140,338868506
141,338868507
142,338868508
143,338868509
144,338868510
145,338868511
146,338868512
147,338868513
148,338868514
149,640991521
150,640991523
151,374051109
152,374051110
153,629829928
154,374051114
155,374051115
156,640991530
157,629829933
158,374051118
159,640991531
160,726083886
161,726083887
162,726083888
163,798906668
164,726083892
165,726083893
166,798906669
167,798906670
168,798906672
169,798906673
170,798906675
171,888959284
172,888959285
173,4407
174,53387
175,456466751
176,558489919
177,456466753
178,4418
179,456466756
180,325
181,326
182,324
183,558489928
184,328
185,57672
186,57675
187,57676
188,634972493
189,634972494
190,57671
191,65865
192,634972497
193,57681
194,656365907
195,656365911
196,705745241
197,705745242
198,846606681
199,656365916
200,846606682
201,846606683
202,530405727
203,846606684
204,67936
205,67938
206,340705635
207,340705636
208,340705637
209,718723428
210,340705639
211,340705640
212,340705641
213,340705642
214,718723429
215,340705644
216,340705645
217,340705646
218,718723430
219,718723431
220,718723436
221,718723438
222,888959277
223,888959280
224,888959281
225,390
226,391
227,401
228,667685273
229,667685277
230,629797284
231,667685284
232,629797286
233,629797290
234,629797291
235,482214317
236,482214318
237,482214320
238,599402937
239,779246009
240,779246011
241,599402940
242,599402941
243,599402942
244,599402943
245,779246013
246,570159553
247,570159555
248,570159556
249,61891
250,61892
251,489640391
252,61894
253,61893
254,489640394
255,779246026
256,53708
257,779246030
258,779246031
259,53711
260,53713
261,53710
262,765398702
263,765398703
264,460116452
265,530315764
266,530315765
267,364100086
268,660802037
269,364100088
270,364100089
271,660802042
272,702388725
273,364100092
274,702388726
275,364100094
276,660802047
277,702388728
