,Invalid
0,2048
1,580853761
2,2049
3,362973187
4,710515261
5,888958981
6,2052
7,362973191
8,362973192
9,362973193
10,362973194
11,362973195
12,596389900
13,596389901
14,710515262
15,596389903
16,888958991
17,491085841
18,2058
19,591284244
20,591284245
21,591284248
22,629829657
23,629829658
24,629829661
25,465432614
26,465432615
27,465432616
28,465432617
29,465432618
30,465432620
31,4145
32,4149
33,359700544
34,359700545
35,359700548
36,359700549
37,359700551
38,359700552
39,359700553
40,623859788
41,623859790
42,623859796
43,623859798
44,525625443
45,557054056
46,888958974
47,585152620
48,585152621
49,116
50,448761977
51,448761978
52,448761979
53,597418106
54,597418107
55,597418108
56,656365690
57,597418112
58,656365691
59,656365693
60,656365697
61,127
62,124
63,346062991
64,346062992
65,346062993
66,346062994
67,346062995
68,346062996
69,346062997
70,346062998
71,346062999
72,346063000
73,685422745
74,992485524
75,992485523
76,877658268
77,877658269
78,992485529
79,992485533
80,685422752
81,53409
82,53411
83,685422756
84,53414
85,877658279
86,738072748
87,738072749
88,877658286
89,738072752
90,837931187
91,738072757
92,837931195
93,397584595
94,397584599
95,397584600
96,397584601
97,599417055
98,63712
99,599417057
100,63713
101,63715
102,382656760
103,382656761
104,382656762
105,382656765
106,2312
107,2321
108,557054237
109,557054238
110,557054239
111,490019104
112,383635746
113,383635747
114,383635749
115,383635750
116,383635751
117,456468776
118,383635754
119,640991533
120,640991534
121,640991537
122,640991539
123,629829941
124,888959287
125,629829944
126,888959288
127,888959294
128,888959296
129,888959297
130,4419
131,4425
132,4429
133,4430
134,656365906
135,656365910
136,634972505
137,634972508
138,415971677
139,656365917
140,65887
141,634972512
142,656365920
143,65888
144,65889
145,710535539
146,710535541
147,710535543
148,650115449
149,650115450
150,650115451
151,710535549
152,650115454
153,650115455
154,650115456
155,650115457
156,710535553
157,482214279
158,482214281
159,482214284
160,402
161,403
162,352178582
163,378618264
164,352178585
165,352178589
166,378618271
167,352178593
168,352178597
169,352178602
170,779245996
171,426785197
172,426785198
173,779245997
174,779245998
175,779246001
176,820703668
177,820703669
178,779246007
179,820703679
180,869415360
181,869415361
182,869415365
183,869415369
184,432624083
185,485632468
186,517810644
187,570159576
188,570159577
189,53722
190,485632475
191,432624092
192,620509659
193,620509662
194,53725
195,53720
196,570159586
197,55787
198,55788
199,718825966
200,718825967
201,718825968
202,55790
203,55792
204,55794
205,718825972
206,561764855
207,561764856
208,561764858
209,757950976
210,757950977
211,2562
212,757950979
213,757950980
214,2563
215,2566
216,757950983
217,445008392
218,445008393
219,757950984
220,2568
221,2573
222,439964181
223,439964183
224,439964186
225,549423654
226,514075176
227,549423656
228,549423657
229,549423659
230,549423660
231,514075181
232,70193
233,70194
234,70196
235,343237174
236,343237176
237,343237177
238,343237178
239,343237179
240,343237180
241,343237181
242,343237182
243,343237183
244,566495806
245,566495809
246,638810684
247,414990915
248,638810685
249,638810686
250,566495814
251,638810690
252,710515271
253,414990921
254,740379206
255,740379207
256,414990924
257,410792525
258,702388813
259,410792527
260,702388814
261,702388817
262,740379211
263,740379216
264,698456665
265,698456666
266,698456667
267,811786846
268,677866079
269,811786848
270,677866081
271,811786851
272,811786853
273,677866087
274,850778728
275,811786864
276,850778739
277,694815358
278,701045376
279,701045377
280,701045383
281,790147723
282,472226444
283,790147724
284,790147726
285,760322704
286,790147728
287,760322708
288,760322709
289,68246
290,760322711
291,760322712
292,68247
293,68248
294,668
295,669
296,68254
297,68255
298,68256
299,694815393
300,674
301,68252
302,676
303,824847034
304,824847035
305,824847036
306,561767101
307,824847037
308,561767103
309,752001731
310,752001734
311,752001735
312,561767112
313,707343050
314,561767115
315,561767116
316,378618574
317,538948303
318,538948304
319,338125523
320,338125524
321,338125525
322,338125526
323,378618581
324,338125528
325,338125529
326,338125530
327,338125531
328,338125532
329,530406101
330,538948311
331,337093344
332,337093345
333,337093348
334,337093350
335,337093351
336,337093352
337,337093353
338,540566258
339,540566260
340,540566261
341,716432117
342,716432118
343,857094901
344,857094904
345,540566266
346,2810
347,2813
348,716432126
349,423746303
350,496202495
351,2814
352,998755074
353,496202499
354,998755075
355,998755077
356,815100688
357,815100690
358,645772052
359,815100692
360,815100694
361,815100704
362,62242
363,62244
364,670556969
365,670556970
366,670556971
367,670556974
368,670556978
369,572605235
370,572605237
371,572605242
372,448789311
373,4928
374,4929
375,4927
376,448789315
377,716321604
378,448789317
379,716321605
380,716321607
381,769428296
382,785800007
383,785800008
384,785800009
385,785800010
386,785800013
387,4938
388,769428304
389,874634067
390,702391131
391,874634078
392,702391137
393,663024486
394,663024487
395,663024488
396,663024489
397,515973997
398,663024494
399,430809970
400,350147442
401,350147443
402,350147444
403,350147445
404,350147446
405,350147447
406,350147448
407,350147449
408,350147450
409,350147451
410,430809974
411,430809977
412,430809979
413,729387904
414,874691449
415,729387906
416,729387907
417,729387908
418,874691452
419,626271114
420,626271115
421,555101068
422,555101069
423,626271118
424,707257238
425,367774615
426,367774616
427,707257239
428,707257244
429,601881501
430,601881502
431,707257246
432,745616288
433,745616289
434,877730720
435,601881507
436,601881508
437,745616293
438,877730721
439,745616295
440,877730726
441,995177382
442,877730730
443,995177384
444,995177387
445,509336493
446,995177389
447,823038895
448,995177391
449,387419057
450,823038897
451,387419060
452,387419061
453,950
454,60340
455,70202
456,70203
457,823038909
458,70204
459,823038911
460,959
461,961
462,435594179
463,421942214
464,528980934
465,435594184
466,56264
467,435594186
468,782154699
469,56263
470,421942221
471,782154701
472,782154703
473,56267
474,56273
475,782154706
476,498711512
477,498711518
478,375210990
479,375210992
480,375210996
481,356903925
482,356903926
483,476742647
484,356903928
485,375211001
486,775474169
487,775474170
488,356903932
489,356903933
490,375211006
491,356903934
492,775474174
493,775474176
494,775474178
495,819276803
496,375211012
497,819276806
498,550362119
499,375211016
500,550362121
501,550362122
502,550362123
503,3082
504,3078
505,798946319
506,798946320
507,3087
508,798946326
509,798946329
510,611251228
511,611251229
512,611251232
513,611251234
514,611251246
515,860994621
516,402887742
517,62525
518,402887744
519,860994624
520,62529
521,402887747
522,860994628
523,62530
524,62535
525,62536
526,705713229
527,705713230
528,705713231
529,502271060
530,5206
531,5208
532,5210
533,760357979
534,5215
535,734653545
536,734653549
537,383284335
538,383284336
539,734653555
540,383284340
541,383284341
542,680664180
543,383284343
544,680664181
545,680664182
546,680664183
547,10813
548,504089734
549,10814
550,707257489
551,707257490
552,601881749
553,601881750
554,707257495
555,745616535
556,745616536
557,10817
558,601881755
559,707257499
560,745616540
561,745616541
562,732290208
563,732290209
564,732290210
565,732290211
566,732290212
567,807519398
568,807519399
569,807519401
570,721771690
571,721771691
572,807519403
573,721771693
574,721771694
575,695934129
576,695934131
577,695934136
578,66751
579,66753
580,1218
581,1219
582,509334725
