,Invalid
0,442535936
1,32780
2,596021271
3,585152546
4,18473
5,415971374
6,426827823
7,647725102
8,640882752
9,640882755
10,656365644
11,491085906
12,338153563
13,338153564
14,338153565
15,338153566
16,338153567
17,338153568
18,338153570
19,338153571
20,338153572
21,338153573
22,8295
23,572594282
24,416008303
25,426786929
26,375183486
27,375183487
28,375183489
29,372379787
30,372379794
31,372379796
32,388868249
33,632746139
34,400089255
35,516001968
36,822917308
37,465432765
38,430776517
39,623859923
40,807631060
41,550361306
42,640882910
43,640882918
44,403060978
45,853520663
46,569846043
47,738072859
48,569846052
49,397584686
50,674476336
51,397584689
52,482214193
53,397584701
54,49474
55,710535504
56,710535505
57,407589204
58,606648661
59,569846102
60,606648663
61,479113562
62,479113564
63,354515302
64,354515303
65,354515304
66,354515307
67,491086188
68,354515308
69,354515309
70,354515311
71,426785137
72,599417202
73,14707
74,426785143
75,599417207
76,865597825
77,456466818
78,383635844
79,456466821
80,557054341
81,383635850
82,530405770
83,383635853
84,383635856
85,718754201
86,718754202
87,815014298
88,667728294
89,445008309
90,718825912
91,718825916
92,771199424
93,880939478
94,880939479
95,785768926
96,343293946
97,27117
98,561766896
99,740379120
100,740379128
101,638810618
102,638810620
103,378618366
104,378618368
105,618363398
106,618363400
107,482214409
108,618363401
109,789662219
110,789662222
111,663022095
112,491184664
113,491184666
114,538913314
115,467653155
116,538913318
117,356885044
118,356885045
119,356885046
120,356885047
121,356885048
122,356885051
123,356885052
124,779246141
125,771199559
126,716321356
127,716321359
128,654289968
129,790147678
130,790147680
131,718826109
132,718826112
133,439964303
134,439964304
135,540566163
136,62122
137,62123
138,35514
139,698456763
140,707343043
141,410792652
142,792203981
143,37593
144,537899739
145,716321502
146,537899746
147,716321507
148,811856612
149,726205163
150,726205165
151,51956
152,804164351
153,990376721
154,990376723
155,399450903
156,637866775
157,670556952
158,874634011
159,877730587
160,874634013
161,874634017
162,760458022
163,723100457
164,760458025
165,366269233
166,366269234
167,592673586
168,366269237
169,366269239
170,378618680
171,366269241
172,378618681
173,378618682
174,880939837
175,756122437
176,459572040
177,874691400
178,702391117
179,815014734
180,815014735
181,815014736
182,435594075
183,435594076
184,392190827
185,781970285
186,392190830
187,392190832
188,824845172
189,423746424
190,645888888
191,504087420
192,745616259
193,820706183
194,995179400
195,820706185
196,408824716
197,509346710
198,7071
199,408824736
200,771539874
201,7075
202,771539879
203,599542697
204,599542698
205,842800049
206,842800050
207,350149567
208,350149571
209,350149574
210,350149575
211,350149578
212,350149579
213,769428426
214,634917845
215,345854939
216,345854940
217,345854941
218,345854942
219,345854943
220,345854944
221,345854945
222,345854946
223,62432
224,345854948
225,345854949
226,416009191
227,438520827
228,623373308
229,438520829
230,623373310
231,838005756
232,838005758
233,750654467
234,520201227
235,46091
236,520201232
237,448789524
238,448789527
239,456053791
240,456053798
241,456053799
242,346072112
243,346072113
244,346072114
245,346072115
246,346072116
247,346072117
248,346072118
249,346072119
250,346072120
251,346072121
252,654289970
253,654289976
254,765477950
255,421942342
256,421942347
257,568777810
258,504087639
259,707257436
260,54385
261,448896115
262,547652724
263,350149755
264,448896124
265,350149757
266,350149760
267,614163585
268,350149762
269,350149764
