,Invalid
0,382656513
1,415971332
2,415971333
3,415971334
4,12309
5,346062870
6,346062871
7,12311
8,346062873
9,346062874
10,346062875
11,346062876
12,346062877
13,346062878
14,378695724
15,378695725
16,378695727
17,378695731
18,660830260
19,996370490
20,63551
21,359184451
22,359184452
23,359184455
24,359184456
25,359184459
26,359184460
27,726243407
28,67675
29,67679
30,338153574
31,338153575
32,338153576
33,338153577
34,338153578
35,338153579
36,338153580
37,338153581
38,338153582
39,338153583
40,338153584
41,338153585
42,346062959
43,346062960
44,346062961
45,346062962
46,346062963
47,346062964
48,346062965
49,346062967
50,557054070
51,39039
52,362973328
53,403013777
54,362973330
55,362973331
56,403013778
57,362973335
58,362973337
59,362973338
60,403013785
61,372379827
62,372379829
63,372379830
64,372379832
65,372379834
66,57539
67,57540
68,364099786
69,779321547
70,779321548
71,364099790
72,362973393
73,362973394
74,362973395
75,362973396
76,362973400
77,407589081
78,65757
79,407589088
80,837931237
81,346063083
82,346063084
83,346063085
84,346063086
85,346063087
86,346063088
87,346063089
88,346063090
89,346063091
90,346063092
91,346063093
92,400089329
93,479135990
94,340705572
95,340705573
96,340705574
97,340705576
98,340705577
99,340705578
100,482214185
101,340705580
102,340705581
103,472166734
104,846606673
105,846606674
106,710535275
107,10589
108,350290276
109,350290277
110,350290278
111,350290279
112,350290280
113,350290281
114,350290282
115,350290283
116,350290284
117,530405739
118,415971698
119,674476403
120,374051188
121,702388595
122,674476406
123,374051192
124,374051194
125,374051195
126,374051196
127,415971707
128,865622395
129,558489983
130,378618255
131,378618258
132,378618259
133,378618260
134,378618261
135,378618263
136,685412781
137,718754232
138,340705721
139,340705722
140,340705723
141,340705724
142,340705725
143,340705726
144,340705727
145,340705728
146,340705729
147,340705730
148,476813762
149,827795908
150,70080
151,25035
152,25036
153,59854
154,25040
155,25042
156,59858
157,423713245
158,423713246
159,356811233
160,356811234
161,356811235
162,356811236
163,356811237
164,374051302
165,356811239
166,374051303
167,356811241
168,374051304
169,374051305
170,374051306
171,374051308
172,374051309
173,374051311
174,374051312
175,426785263
