,Invalid
0,434716673
1,822917121
2,434716680
3,382656521
4,382656522
5,382656526
6,382656528
7,382656529
8,580904979
9,632746004
10,559452182
11,10262
12,846606360
13,846606361
14,559452186
15,10263
16,846606364
17,10264
18,559452190
19,559452191
20,846606367
21,10272
22,10273
23,65580
24,65581
25,47
26,48
27,65583
28,51
29,656365623
30,656365624
31,656365633
32,710535234
33,998752322
34,710535236
35,998752325
36,731965510
37,731965511
38,710535240
39,731965512
40,710535242
41,57419
42,549398604
43,731965516
44,57420
45,57422
46,57424
47,59464
48,549398610
49,606679122
50,549398612
51,737939447
52,877658200
53,737939450
54,737939452
55,870678636
56,870678643
57,837931124
58,837931126
59,737939455
60,837931131
61,837931133
62,623861900
63,141
64,623861902
65,143
66,144
67,440963218
68,623861908
69,440963221
70,479135896
71,479135897
72,479135898
73,479135899
74,550361243
75,599416989
76,440963229
77,599416991
78,479135902
79,479135903
80,479135906
81,550361244
82,550361251
83,440963239
84,426784939
85,426784940
86,59466
87,770857146
88,770857147
89,770857148
90,2235
91,397584584
92,397584585
93,397584586
94,397584587
95,456468684
96,456468685
97,397584590
98,397584591
99,397584594
100,740378835
101,456468693
102,888959189
103,740378839
104,888959190
105,888959194
106,740378843
107,740378844
108,888959196
109,888959198
110,695953645
111,695953647
112,695953649
113,640991479
114,529058046
115,745289983
116,4352
117,529058049
118,4351
119,670071043
120,529058052
121,670071044
122,670071047
123,745289991
124,745289992
125,2495
126,4361
127,550361360
128,634972436
129,550361368
130,426787098
131,426787099
132,634972443
133,634972444
134,61726
135,61727
136,426787107
137,61732
138,69929
139,69933
140,992485683
141,992485685
142,710535494
143,698513739
144,334
145,335
146,779245904
147,337
148,698513748
149,811481429
150,341
151,340
152,343
153,811481436
154,779245917
155,779245919
156,779245921
157,667685228
158,461099373
159,667685230
160,629797232
161,467652977
162,67954
163,467652979
164,667685236
165,663021941
166,467652982
167,663021942
168,67955
169,467652985
170,467652986
171,467652987
172,663021947
173,663021949
174,718723451
175,718723455
176,618363264
177,618363265
178,67964
179,618363267
180,618363268
181,683143572
182,683143574
183,1002314138
184,820703643
185,820703644
186,683143582
187,820703646
188,827795870
189,1002314143
190,1002314144
191,827795875
192,820703652
193,1002314145
194,827795878
195,530315694
196,530315697
197,530315700
198,530315703
199,815014330
200,479113659
201,443537852
202,479113660
203,479113661
204,479113662
205,479113663
206,718754236
207,718754241
208,561766851
209,561766852
210,479113669
211,665489860
212,665489862
213,665489863
214,2496
215,2504
216,865597900
217,561766861
218,665489871
219,629797341
220,629797346
221,629797347
222,865597922
223,414990842
224,414990843
225,781969917
226,781969922
227,781969926
228,410792468
229,410792469
230,566495766
231,740379158
232,566495768
233,740379159
234,740379160
235,4628
236,4632
237,410792477
238,740379166
239,740379167
240,4631
241,4639
242,807756331
243,424712748
244,807756332
245,807756333
246,807756334
247,461099568
248,469813811
249,424712756
250,807756341
251,469813814
252,874633784
253,771199545
254,771199546
255,874633785
256,874633787
257,771199549
258,771199550
259,701045311
260,771199551
261,771199554
262,771199555
263,760322634
264,760322637
265,656280142
266,656280144
267,760322642
268,760322643
269,656280148
270,597578327
271,597578331
272,597578333
273,597578335
274,613
275,614
276,615
277,616
278,622
279,623
280,752001649
281,752001652
282,756122234
283,756122235
284,756122236
