,Invalid
0,685422609
1,685422610
2,685422611
3,685422612
4,685422614
5,685422615
6,685422616
7,996370457
8,996370458
9,779243547
10,779243548
11,996370459
12,996370461
13,337082402
14,337082403
15,337082404
16,337082405
17,340752422
18,340752423
19,340752424
20,337082406
21,337082407
22,337082408
23,337082409
24,337082410
25,337082411
26,337082412
27,340752426
28,340752427
29,403013679
30,403013681
31,846606383
32,846606387
33,403013686
34,426786871
35,846606389
36,2105
37,69681
38,2108
39,426786877
40,837931077
41,426827846
42,837931078
43,426827848
44,837931083
45,426827853
46,837931088
47,549398614
48,549398615
49,549398616
50,702388310
51,549398618
52,702388311
53,702388313
54,702388316
55,881692763
56,881692765
57,877658211
58,67684
59,67683
60,775475305
61,775475306
62,400089195
63,67690
64,400089197
65,67692
66,382656623
67,382656624
68,382656625
69,400089201
70,382656627
71,775475312
72,775475315
73,801491068
74,801491069
75,801491071
76,801491075
77,881692804
78,881692806
79,881692812
80,465432731
81,731334811
82,731334813
83,731334814
84,731334815
85,731334817
86,465432738
87,731334820
88,731334821
89,832788649
90,832788654
91,832788655
92,448762032
93,448762034
94,448762035
95,448762036
96,448762039
97,4281
98,4284
99,740378814
100,4290
101,4291
102,740378821
103,740378823
104,740378824
105,338868425
106,338868426
107,338868427
108,338868428
109,338868429
110,740378825
111,338868431
112,2255
113,338868434
114,403060947
115,403060950
116,472166614
117,403060955
118,403060956
119,403060957
120,403060958
121,525625563
122,525625564
123,525625574
124,472166632
125,472166634
126,842792602
127,258
128,259
129,260
130,62331
131,262
132,894753031
133,894753032
134,894753035
135,4363
136,4364
137,4365
138,558489872
139,558489873
140,894753041
141,4370
142,546267419
143,546267420
144,558489883
145,546267428
146,546267429
147,680665381
148,426785070
149,426785071
150,550361394
151,426785075
152,69940
153,426785077
154,426785078
155,846606647
156,718825784
157,718825785
158,64377
159,846606651
160,569846076
161,69944
162,846606654
163,69945
164,572688704
165,572688705
166,572688706
167,572688707
168,69670
169,779245893
170,779245894
171,779245895
172,779245896
173,779245897
174,779245900
175,530315598
176,456466772
177,530315608
178,801448280
179,801448282
180,801448283
181,55661
182,69679
183,55663
184,695953776
185,695953777
186,815074969
187,55664
188,69680
189,364099960
190,364099961
191,364099962
192,695953784
193,364099964
194,364099965
195,364099966
196,2429
197,364099968
198,364099969
199,364099970
200,2430
201,2432
202,2428
203,815074973
204,57064
205,57066
206,561766796
207,561766800
208,472166805
209,472166806
210,3744
211,3745
212,757950876
213,757950877
214,472166814
215,538913182
216,472166816
217,538913184
218,757950878
219,757950881
220,48523
221,757950887
222,374051242
223,374051243
224,374051244
225,374051245
226,374051246
227,374051249
228,718723506
229,718723507
230,576096702
231,415971775
232,576096703
233,576096705
234,4546
235,4547
236,415971780
237,4549
238,415971782
239,4548
240,538913224
241,4550
242,538913231
243,726084048
244,538913233
245,726084049
246,726084050
247,726084056
248,726084057
249,726084058
250,726084059
251,344127968
252,344127971
253,482214372
254,865597924
255,344127974
256,718754279
257,344127976
258,865597925
