,Invalid
0,623861760
1,501809153
2,501809154
3,501809155
4,501809156
5,623861762
6,424693766
7,424693767
8,424693768
9,501809160
10,424693775
11,519462928
12,519462929
13,519462930
14,749000719
15,749000722
16,519462934
17,519462935
18,749000728
19,519462937
20,881692856
21,992485738
22,707237923
23,430776358
24,632746023
25,881692858
26,632746028
27,996370477
28,996370478
29,496488500
30,496488502
31,496488503
32,881692861
33,65593
34,65597
35,378695743
36,378695744
37,827699265
38,827699267
39,827699268
40,25251
41,827699270
42,827699272
43,827699275
44,16461
45,16464
46,16466
47,617984088
48,14429
49,14430
50,14431
51,617984096
52,585152609
53,28921
54,585152614
55,14438
56,585152617
57,585152618
58,685422700
59,403060845
60,403060846
61,25259
62,403060848
63,403060850
64,796838004
65,796838005
66,796838006
67,779243640
68,738072699
69,870678657
70,28928
71,870678673
72,24734
73,24735
74,24736
75,377301162
76,377301164
77,440963246
78,440963247
79,22702
80,338868401
81,377301169
82,338868403
83,377301171
84,440963249
85,440963252
86,338868407
87,377301176
88,338868409
89,377301178
90,338868411
91,377301180
92,338868413
93,426784954
94,426784955
95,338868416
96,426784959
97,338868418
98,338868419
99,338868420
100,338868421
101,426784962
102,479113407
103,479113415
104,30975
105,30976
106,53454
107,53455
108,53458
109,456468704
110,456468705
111,456468706
112,846606572
113,846606573
114,516002030
115,516002031
116,516002032
117,516002033
118,576096498
119,629797103
120,576096500
121,629797105
122,346063094
123,346063095
124,346063096
125,346063097
126,346063098
127,388868347
128,346063099
129,346063100
130,346063101
131,346063102
132,346063103
133,346063104
134,364099840
135,364099841
136,364099842
137,364099843
138,364099844
139,364099846
140,364099847
141,364099849
142,364099850
143,576096516
144,529058066
145,529058068
146,660802015
147,576096502
148,629829911
149,629829912
150,629829913
151,629829914
152,529058075
153,745290007
154,745290008
155,629829919
156,745290016
157,33056
158,33062
159,18733
160,718723377
161,18737
162,718723379
163,47412
164,47413
165,18740
166,992485693
167,992485694
168,491184448
169,491184449
170,491184450
171,491184451
172,491184452
173,656365888
174,656365893
175,705745219
176,829290079
177,846606662
178,656365898
179,482214227
180,482214229
181,420178268
182,420178269
183,420178270
184,482214236
185,472226149
186,472226153
187,57706
188,650115435
189,650115436
190,650115437
191,650115438
192,650115439
193,880939373
194,880939374
195,57705
196,992485739
197,992485740
198,992485742
199,880939383
200,67965
201,67966
202,426785158
203,811856789
204,426785161
205,779245961
206,426785165
207,779245965
208,65933
209,65934
210,65935
211,65936
212,467653012
213,467653013
214,467653019
215,8605
216,8606
217,356884899
218,356884900
219,356884901
220,469819812
221,356884903
222,356884904
223,356884905
224,356884906
225,356884907
226,356884908
227,356884909
228,469819813
229,469819818
230,469819819
231,479136173
232,620509613
233,620509615
234,620509617
235,683143600
236,698513842
237,698513851
238,479136188
239,820706195
240,39357
241,39360
242,820706196
243,660802020
244,39364
245,757950923
246,756241978
247,476813783
248,383635928
249,383635929
250,383635930
251,476813784
252,476813785
253,476813786
254,476813788
255,476813789
256,383635936
257,383635937
258,476813790
259,476813791
260,561764833
261,561764834
262,561764838
263,569879007
264,364100072
265,364100073
266,364100074
267,364100075
268,561764842
269,460116461
270,364100078
271,364100079
272,364100080
273,364100081
274,460116464
275,667728364
276,990376434
277,990376437
278,460116470
279,990376435
280,53753
281,865597946
282,865597947
283,865597948
284,865597949
285,865597950
286,53754
287,865597952
288,53757
289,69300
290,69301
291,990376443
292,69303
293,638810639
294,638810641
295,498709012
296,498709013
297,498709014
298,498709015
299,498709016
300,638810644
301,359676442
302,359676443
303,359676444
304,359676445
305,359676446
306,359676447
307,388868343
308,359676449
309,359676450
310,740379168
311,740379169
312,710515237
313,740379173
314,804164129
315,889002529
316,710515241
317,491184682
318,491184683
319,491184684
320,491184685
321,889002533
322,889002538
323,815100654
324,557036096
325,557036097
326,557036098
327,815100655
328,557036100
329,751957599
330,557036102
331,557036103
332,557036104
333,557036106
334,70218
335,70220
336,70221
337,70223
338,70224
339,716321362
340,716321367
341,566382584
342,716321369
343,807756377
344,807756378
345,771199586
346,461094728
347,732291687
348,732291688
349,771199593
350,880939624
351,732291691
352,880939625
353,880939633
354,634796660
355,634796661
356,566382590
357,634796662
358,634796664
359,10873
360,634796666
361,378618495
362,378618497
363,378618499
364,334310020
365,334310021
366,334310022
367,378618503
368,378618504
369,811856518
370,811856519
371,811856521
372,811856525
373,530315923
374,677866132
375,530315925
376,677866133
377,530315927
378,677866134
379,677866135
380,410792602
381,509336218
