,Invalid
0,550361088
1,998752261
2,656343047
3,550361098
4,501809163
5,501809164
6,707237908
7,410810390
8,410810393
9,410810395
10,410810397
11,22561
12,410810405
13,456456236
14,680665143
15,547653695
16,403013696
17,403013697
18,471119942
19,403013703
20,471119951
21,996370528
22,680665192
23,65646
24,61561
25,34952
26,34953
27,875176076
28,875176077
29,875176078
30,775475346
31,775475347
32,430776468
33,430776470
34,557054104
35,430776473
36,557054111
37,745289900
38,566382765
39,37045
40,37046
41,472166591
42,718723279
43,995539152
44,426787028
45,426787029
46,426787030
47,426787034
48,822917346
49,557054179
50,557054181
51,557054182
52,822917349
53,24810
54,24811
55,516002040
56,888959236
57,888959237
58,26889
59,415971598
60,403013903
61,415971599
62,403013908
63,415971604
64,403013910
65,403013911
66,403013912
67,403013913
68,403013914
69,415971606
70,415971605
71,846606619
72,6430
73,6431
74,491086119
75,491086120
76,491086122
77,853520686
78,853520688
79,479113525
80,529058104
81,479113530
82,28992
83,28994
84,397584709
85,397584714
86,397584715
87,397584717
88,397584719
89,837931352
90,698513753
91,420178278
92,69993
93,472226159
94,472226160
95,472226161
96,472226162
97,656365947
98,485632394
99,485632395
100,640991627
101,485632398
102,530315666
103,530315668
104,557054356
105,67992
106,426785177
107,467653021
108,415971743
109,663021986
110,663021987
111,45484
112,45485
113,865597889
114,865597890
115,865597895
116,432624072
117,432624073
118,20937
119,710535627
120,432624076
121,20943
122,846606810
123,846606811
124,476813793
125,476813794
126,476813795
127,476813796
128,572688869
129,476813798
130,656280040
131,461099498
132,476813803
133,461099502
134,792203768
135,460116473
136,460116474
137,467653116
138,467653117
139,744352254
140,850665981
141,669987328
142,460116481
143,515265041
144,515265045
145,865622554
146,540566053
147,423713318
148,540566054
149,677866033
150,677866035
151,570159669
152,570159670
153,570159671
154,570159675
155,570159678
156,731337290
157,634796619
158,889068109
159,424712782
160,701045346
161,701045347
162,701045348
163,451756657
164,798984817
165,451756664
166,549423738
167,726205052
168,549423744
169,461099661
170,461099665
171,572605079
172,572605081
173,572605085
174,561767077
175,561767083
176,767990454
177,767990459
178,815100616
179,525253323
180,525253324
181,482751182
182,482751183
183,525253326
184,482751188
185,707056341
186,807756514
187,472226531
188,472226533
189,534934257
190,472226549
191,70394
192,415003390
193,415003391
194,415003392
195,865598212
196,408804101
197,408804102
198,865598214
199,408804104
200,865598216
201,865598218
202,408804107
203,865598220
204,47887
205,694815507
206,408822576
207,540566321
208,540566322
209,663024432
210,842799926
211,705776439
212,496202573
213,496202574
214,496202575
215,781970255
216,823038813
217,15214
218,445055857
219,445055859
220,824820595
221,397624196
222,465437574
223,465437575
224,397624200
225,397624202
226,435594124
227,465437582
228,397624207
229,515974054
230,515974057
231,515974059
232,502563761
233,445055926
234,869979069
235,869979071
236,64450
237,555101135
238,555101139
239,555101142
240,58356
241,58357
242,829146102
243,829146103
244,877730821
245,435594249
246,435594250
247,877730828
248,519461907
249,857095216
250,857095217
251,877730878
252,440335425
253,520465476
254,440335429
255,440335432
256,448789605
257,509346926
258,568777842
259,807519352
260,1002167420
261,448896143
262,54448
263,54449
264,440962228
265,440962229
266,64694
267,64692
268,504089790
269,504089791
270,550362302
271,550362303
272,550362304
273,504089795
274,465425604
275,27849
276,465425611
277,27851
278,732290258
279,734653653
280,846619876
281,860994795
282,392592653
283,545869071
284,545869072
285,36111
286,36116
287,485920032
288,5410
289,850664746
290,850664747
291,850664749
292,19757
293,38199
294,38200
295,578848070
296,860650825
297,578848075
298,523459916
299,785769808
300,523459921
301,842792281
302,60764
303,60765
304,60768
305,715001185
306,715001186
307,757960039
308,663047538
309,64884
310,392592759
311,392592760
312,540593529
313,392592765
314,392625536
315,882009473
316,752129413
317,884739470
318,877723029
319,877723031
320,768664991
321,675335585
322,1006325156
323,1006325157
324,434707883
325,458628529
326,458628538
327,451755455
328,69055
329,451755458
330,833066434
331,833066436
332,504090061
333,504090072
334,530388448
335,489684450
336,489684451
337,523460068
338,523460069
339,530388454
340,523460070
341,523460071
342,489684452
343,489684457
344,50683
345,638811646
346,576081407
347,540593664
348,540593666
349,576081412
350,576081415
351,540593672
352,561769996
353,857130517
354,795411992
355,432606746
356,476745255
357,861001255
358,476745257
359,476745258
360,476745261
361,476745263
362,445081140
363,445081141
364,650237495
365,538975805
366,546205263
367,546205264
368,9816
369,9818
370,626218596
371,626218597
372,407875191
373,407875195
374,407875198
375,829183615
376,829183617
377,7811
378,7812
379,7813
380,998764166
381,689297046
382,481900184
383,481900185
384,481900187
385,481900188
386,530388636
387,576081563
388,67229
389,576081568
390,994164383
391,525381310
392,63166
393,63167
394,525381313
395,63171
396,525381322
397,580853450
398,580853451
399,550729427
400,550729432
401,561770215
402,561770216
403,561770219
404,561770220
405,804075243
406,804075244
407,561770223
408,14060
409,14062
410,996378354
411,996378355
412,716426998
413,716426999
414,632788731
415,829183766
416,500539160
417,26408
418,57141
419,667670328
420,410810171
421,442492733
422,442492736
423,442492750
424,32595
425,400029538
426,400029539
427,400029541
428,550729577
429,550729578
430,400029547
431,550729579
432,877657961
433,416008046
434,702388082
435,59250
436,59251
437,815075200
438,801490831
439,491190167
440,491190168
441,491190171
442,491190172
443,738021278
444,775475108
445,673093563
446,456456137
447,572594138
448,572594139
449,572594140
450,491085794
451,491085795
452,491085796
453,491085797
454,63464
455,400029674
456,400029675
457,400029676
458,400029677
459,491085802
460,731273199
461,400029680
462,827791338
463,400029683
464,400029685
465,55290
