,Invalid
0,57360
1,57361
2,57362
3,57364
4,434716695
5,382656553
6,784293964
7,784293965
8,434364499
9,434364500
10,338149461
11,338149462
12,338149463
13,338149464
14,338149465
15,338149466
16,338149467
17,338149468
18,338149469
19,338149470
20,338149471
21,338149472
22,687448159
23,687448160
24,687448161
25,687448158
26,57439
27,57440
28,57442
29,480698478
30,480698479
31,480698480
32,480698481
33,540278901
34,540278902
35,540278903
36,480698488
37,540278905
38,646660243
39,646660244
40,646660245
41,646660247
42,646660248
43,501031067
44,501031068
45,501031069
46,501031070
47,434364503
48,627908811
49,627908817
50,627908818
51,627908819
52,384385236
53,384385237
54,384385242
55,384385243
56,384385245
57,658104582
58,658104585
59,658104586
60,340402446
61,340402447
62,340402448
63,340402449
64,340402450
65,340402451
66,340402452
67,340402453
68,340402454
69,658104591
70,340402456
71,340402457
72,689725730
73,689725731
74,377291077
75,377291079
76,377291083
77,377291084
78,377291085
79,377291086
80,998375766
81,998375767
82,998375774
83,998375775
84,391700838
85,482214252
86,391700845
87,391700848
88,515572100
89,712409477
90,712409478
91,515572103
92,515572104
93,515572108
94,428401115
95,594690524
96,594690526
97,428401120
98,565961192
99,565961193
100,565961194
101,565961195
102,537977327
103,785768943
104,404824563
105,404824566
106,404824567
107,615326205
108,615326206
109,615326207
110,476361340
111,451756563
112,838885927
113,838885928
114,674882089
115,838885932
116,742064688
117,517521978
118,517521987
119,517521988
120,517521989
121,395002443
122,395002445
123,757498481
124,638476923
125,768852650
126,346071763
127,465068788
128,465068789
129,670556956
130,369271581
131,369271582
132,771539742
133,369271584
134,369271585
135,369271586
136,369271587
137,369271589
138,534324019
139,534324020
140,534324021
141,534324022
142,534324024
143,430809964
144,796173170
145,796173171
146,796173178
147,702030759
148,471753641
149,471753643
150,471753644
151,702030767
152,702030768
153,346071993
154,695477182
155,695477185
156,445055938
157,695477187
158,58376
159,58377
160,58378
161,58379
162,58384
163,765174802
164,765174803
165,552174645
166,552174646
167,552174647
168,552174648
169,552174655
170,829146177
171,419906641
172,419906646
173,445113454
174,445113455
175,445113456
176,445113457
177,707257466
178,775513223
179,827991177
180,481698981
181,481698982
182,481698985
183,414352561
184,460711095
185,414352568
186,788907196
187,788907197
188,460711103
189,460711104
190,424355016
191,587850953
192,424355025
193,424355026
194,770458846
195,591996129
196,770458849
197,591996136
198,591996138
199,591996139
200,577397999
201,577398000
202,590152952
203,374449410
204,374449411
205,374449412
206,374449413
207,374449414
208,374449415
209,636486950
210,636486951
211,636486954
212,742540621
213,524993896
214,524993900
215,524993901
216,449578365
217,449578366
218,449578372
219,606283146
220,606283152
221,606283153
222,606283154
223,714646942
224,714646946
225,745055651
226,745055652
227,745055653
228,745055654
229,440550868
230,440550869
231,440550870
232,547685852
233,637666788
234,472221157
235,517572080
236,517572081
237,587949554
238,587949555
239,517572083
240,842794495
241,347014667
242,347014671
243,347014672
244,347014673
245,347014674
246,347014675
247,347014676
248,519505442
249,519505445
250,18024
251,18026
252,406193774
253,406193775
254,334325362
255,764167794
256,9846
257,9847
258,9848
259,490702457
260,490702460
261,490702461
262,490702462
263,490702463
264,490702464
265,490702465
266,9854
267,717317772
268,717317773
269,625813134
270,625813135
271,467265168
272,408733338
273,408733339
274,408733342
275,408733343
276,408733344
277,354469598
278,715843330
279,715843339
280,996280083
281,996280084
282,996280091
283,996280092
284,724657966
285,824788788
286,815064885
287,815064886
288,815064884
289,824788793
290,556312409
291,556312410
292,556312413
293,556312414
294,375170916
295,360982373
296,375170917
297,665421687
298,491530107
299,491530108
300,491530109
301,34697
302,34698
303,856008609
304,544204737
305,544204738
306,544204739
307,544204741
308,856426438
309,544204743
310,856426439
311,544204746
312,856426443
313,573376470
314,573376471
315,774760438
316,561621003
317,755730444
318,561621008
319,755730453
320,857139246
321,585451572
322,585451573
323,798869559
324,585451576
325,719186001
326,719186006
327,719186007
328,785295458
329,707758212
330,707758213
331,506325129
332,506325130
333,506325131
334,506325137
335,506325138
336,569845917
337,550398116
338,550398118
339,568469671
340,568469672
341,67751
342,67754
343,67750
344,561170608
345,561170609
346,561170610
347,561170611
348,777783472
349,777783476
350,997427376
351,777783479
352,997427382
353,997427377
354,18618
355,18619
356,18620
357,997427383
358,997427384
359,597149921
360,597149922
361,597149923
362,422324464
363,422324466
364,422324468
365,615524598
366,615524599
367,422324472
368,615524602
369,826468652
370,826468659
371,739928409
372,739928410
373,739928411
374,739928412
375,485632409
