,Invalid
0,830574363
1,416008193
2,736282627
3,829583365
4,829583366
5,550361101
6,354500622
7,354500623
8,354500624
9,764241935
10,354500626
11,354500627
12,354500628
13,354500629
14,354500630
15,354500631
16,434763795
17,434763797
18,434763796
19,521861146
20,57372
21,57376
22,10997
23,379379746
24,379379747
25,379379754
26,768065578
27,768065579
28,768065580
29,535478319
30,22577
31,632746034
32,22580
33,443181109
34,651305013
35,651305015
36,443181112
37,443181113
38,443181114
39,443181115
40,651305014
41,651305016
42,445489214
43,445489215
44,519014464
45,519014463
46,785346624
47,525625411
48,61500
49,61501
50,718137415
51,718137416
52,530370633
53,623859786
54,698409035
55,631785555
56,597418081
57,858144865
58,57450
59,649810030
60,57454
61,649810033
62,649810034
63,649810035
64,650115188
65,685422705
66,707758198
67,806609011
68,751714429
69,751714433
70,877658241
71,69761
72,69763
73,465469584
74,545314960
75,465469586
76,465469587
77,465469588
78,505858197
79,417921174
80,505858198
81,839977107
82,839977106
83,764471450
84,839977110
85,420509854
86,430723231
87,420509856
88,646660257
89,721352866
90,430723235
91,344184996
92,344184997
93,344184998
94,344184999
95,344185000
96,344185001
97,344185002
98,344185003
99,344185004
100,344185005
101,344185006
102,626161830
103,626161831
104,626161835
105,654168241
106,400500915
107,67762
108,654168246
109,996368269
110,888991935
111,400089288
112,888991944
113,853569741
114,853569742
115,479135951
116,370419923
117,875176159
118,557054177
119,797718758
120,534817000
121,635975914
122,767777003
123,456468716
124,495757548
125,767777002
126,606640367
127,495757552
128,495757553
129,495757554
130,397584627
131,451053812
132,544215281
133,606640370
134,606640369
135,528099592
136,472166667
137,438880529
138,523692308
139,523692313
140,451756314
141,491534619
142,491534621
143,727689502
144,491534623
145,514947360
146,817234207
147,66000
148,491534627
149,491534628
150,999590191
151,470196528
152,470196529
153,999590192
154,558489907
155,566061365
156,629793079
157,470196536
158,566061368
159,566061369
160,566061370
161,638001464
162,566061373
163,748650813
164,63806
165,66008
166,788921212
167,745290064
168,475652437
169,475652439
170,871473500
171,337367401
172,337367402
173,337367403
174,337367404
175,337367405
176,337367406
177,337367407
178,337367408
179,420178288
180,337367410
181,884697865
182,29048
183,356884857
184,525252986
185,29049
186,992485763
187,489640326
188,31115
189,639209868
190,424696211
191,424696212
192,533781438
193,826067348
194,368519575
195,368519576
196,368519577
197,424696217
198,828072346
199,828072347
200,828072343
201,573682078
202,828072344
203,828072345
204,573682081
205,573682082
206,883968413
207,883968414
208,388643237
209,573682085
210,883968415
211,883968417
212,388643243
213,33197
214,710472111
215,338203056
216,338203057
217,338203058
218,370420146
219,369637812
220,568760757
221,338203062
222,338203063
223,369637816
224,338203064
225,369637818
226,369637819
227,369637820
228,338203066
229,338203065
230,369637821
231,369637822
232,414433720
233,522471871
234,522471870
235,868553150
236,888000973
237,762100175
238,672600528
239,65999
240,762100178
241,865622482
242,467950036
243,762100181
244,875221461
245,672600535
246,382134744
247,365275608
248,49623
249,49621
250,365275612
251,49629
252,382134750
253,49631
254,382134752
255,382134753
256,861321705
257,861321706
258,530405867
259,890960364
260,873495021
261,819253743
262,890960370
263,793485811
264,793485812
265,890960374
266,398526968
267,398526969
268,823800313
269,665719291
270,398526972
271,603199999
272,603200000
273,860690951
274,860690952
275,860690953
276,409743885
277,597555730
278,356923923
279,356923924
280,356923925
281,811813398
282,356923927
283,356923928
284,833066777
285,356923930
286,356923931
287,356923932
288,628593180
289,414990879
290,878017057
291,878017058
292,878017059
293,8741
294,878017062
295,8742
296,601868851
297,862204468
298,601868856
299,389569083
300,389569084
301,389569089
302,633932354
303,389569092
304,365922886
305,365922887
306,365922889
307,39498
308,365922891
309,365922893
310,365922894
311,478321233
312,478321234
313,478321235
314,698456663
315,644424284
316,677866076
317,369637815
318,341879394
319,341879395
320,341879396
321,341879397
322,341879398
323,341879399
324,341879400
325,341879401
326,341879402
327,341879403
328,870224483
329,20476
330,990376554
331,677839477
332,20478
333,7860
334,695888507
335,549466748
336,677839484
337,7861
338,823188100
339,823188101
340,343534214
341,358085254
342,358085255
343,358085256
344,358085257
345,358085258
346,358085260
347,358085261
348,455350926
349,358085263
350,609047176
351,884697866
352,884697867
353,512084629
354,824844949
355,512084631
356,884697868
357,512084634
358,566384633
359,783008415
360,763232930
361,783008421
362,783008422
363,783008423
364,783008424
365,422654637
366,760457902
367,865323695
368,865323699
369,865323700
370,725500605
371,844942013
372,599530175
373,540625600
374,630917823
375,630917825
376,844942016
377,456442564
378,456442565
379,456442566
380,725500614
381,844942017
382,452104905
383,894425794
384,452104907
385,456442572
386,881902284
387,338125518
388,570159823
389,771539664
390,452104913
391,346071762
392,460010194
393,479154899
394,479154900
395,479154901
396,479154902
397,479154903
398,479154904
399,691733205
400,718826197
401,740307675
402,740307677
403,364073694
404,364073695
405,680633055
406,740307680
407,364073698
408,496202466
409,364073700
410,364073701
411,496202467
412,364073703
413,364073704
414,680633058
415,857094887
416,68327
417,68331
418,68328
419,448862959
420,448862960
421,540566257
422,366269170
423,714824431
424,737577716
425,737577717
426,340310774
427,340310775
428,340310776
429,340310777
430,340310778
431,340310779
432,383636214
433,340310781
434,448862967
435,340310783
436,563032827
437,711949056
438,715074300
439,715074305
440,737577711
441,347468550
442,347468552
443,347468553
444,347468554
445,347468555
446,347468556
447,347468557
448,347468558
449,347468559
450,532996876
451,624990989
452,624990988
453,693246732
454,804852493
455,804852492
456,688280349
457,1000539085
458,617224994
459,617224996
460,1000539086
461,25385
462,436779818
463,679113516
464,436779823
465,436779824
466,614216496
467,614216497
468,614216499
469,614216498
470,716321590
471,885078840
472,515971897
473,515971898
474,791814970
475,360921918
476,360921919
477,360921920
478,515971905
479,515971904
480,360921923
481,360921924
482,360921925
483,383284038
484,562119495
485,515973960
486,670554948
487,670554949
488,446665550
489,405041999
490,405042000
491,446665551
492,562119502
493,47953
494,47952
495,35664
496,35662
497,27490
498,796453731
499,488825705
500,488825706
501,488825707
502,488825708
503,488825710
504,877730672
505,61498
506,558783348
507,487310197
508,558783350
509,558783351
510,558783352
511,558783353
512,342543226
513,558783354
514,342543228
515,342543229
516,342543230
517,342543231
518,342543232
519,342543233
520,509346685
521,342543235
522,342543236
523,558783359
524,702802818
525,15231
526,338125707
527,852278158
528,764241936
529,886813588
530,886813589
531,764241937
532,886813590
533,376052634
534,376052635
535,376052636
536,764241938
537,782156699
538,374465439
539,374465440
540,447921057
541,374465442
542,374465443
543,517743519
544,374465445
545,374465446
546,447921063
547,543624096
548,775512994
549,713130923
550,863284139
551,661058478
552,661058479
553,689252272
554,863284144
555,377332659
556,423994298
557,423994299
558,423994300
559,384467901
560,377332669
561,384467903
562,423994304
563,423994305
564,423994302
565,423994303
566,445055937
567,498711489
568,384467910
569,384467911
570,655344578
571,866034630
572,866034631
573,22581
574,1000539084
575,485929933
576,657699790
577,485929935
578,485929936
579,657699791
580,510741458
581,856658899
582,485929940
583,1000539093
584,647648214
585,1000539092
586,1000539087
587,856658908
588,856658909
589,64477
590,64478
591,64479
592,64480
593,514284517
594,770493415
595,770493416
596,770493417
597,514284522
598,476742636
599,514284525
600,514284526
601,770493421
602,614163442
603,372409344
604,345854979
605,345854980
606,372409349
607,372409350
608,372409352
609,555162633
610,435594259
611,642188318
612,480283680
613,480283681
614,56352
615,70697
616,402887728
617,529368129
618,502854722
619,529368130
620,502854724
621,814328907
622,784270412
623,654290003
624,554179668
625,554179670
626,554179671
627,554179672
628,554179673
629,554179674
630,728933466
631,728933467
632,426505309
633,571294814
634,426505311
635,849470557
636,7257
637,571294818
638,571294819
639,369372270
640,348595311
641,348595312
642,348595313
643,348595314
644,348595315
645,348595316
646,348595317
647,348595318
648,348595319
649,348595320
650,369372275
651,369372280
652,369372279
653,369372278
654,717038715
655,843242621
656,843242619
657,815586435
658,775513221
659,23686
660,815586440
661,752786569
662,782154889
663,403324043
664,782154890
665,403324045
666,752786574
667,621966482
668,732290194
669,33204
670,780420245
671,745440406
672,444669083
673,772840607
674,62627
675,46244
676,46245
677,392129702
678,772840616
679,46249
680,46248
681,835824814
682,835824815
683,746738997
684,580035764
685,835824823
686,532184252
687,850678974
688,872412355
689,872412358
690,512992456
691,600835273
692,600835274
693,872412362
694,831882444
695,831882445
696,831882446
697,54480
698,615269588
699,895565561
700,383988955
701,801490873
702,860650718
703,524393696
704,524393697
705,471086314
706,463576302
707,453969141
708,752129269
709,453969145
710,453969146
711,449934590
712,669998334
713,669998335
714,669998336
715,546164660
716,669998339
717,547652874
718,547652875
719,547652876
720,567719179
721,464346382
722,464346383
723,577676557
724,639962378
725,546164664
726,731792666
727,66843
728,66844
729,466885917
730,466885918
731,643554591
732,506668320
733,506668321
734,66849
735,676945188
736,506668325
737,756884776
738,994110762
739,406115627
740,685526316
741,434707757
742,406115630
743,434707758
744,349730099
745,349730100
746,349730101
747,349730102
748,349730103
749,349730104
750,646660259
751,349730106
752,349730107
753,349730108
754,741655863
755,741655867
756,841175994
757,537519425
758,619369796
759,619369797
760,68934
761,68935
762,68937
763,841175996
764,572939596
765,500579661
766,458839374
767,572939600
768,397135185
769,458839377
770,397135191
771,397135193
772,397135194
773,397135195
774,547964255
775,386291040
776,547964256
777,547964257
778,547964259
779,547964260
780,386291046
781,568760760
782,468772200
783,547964264
784,493653354
785,468772203
786,468772204
787,468772205
788,493653355
789,493653356
790,501394799
791,501394798
792,501394797
793,517764466
794,517764468
795,687854964
796,526345590
797,687854966
798,509334904
799,526345593
800,771851637
801,771851644
802,643501439
803,643501440
804,804048259
805,673932681
806,425782382
807,861001098
808,32143
809,433628560
810,618059157
811,373673367
812,618059161
813,373673371
814,540593563
815,346342815
816,346342816
817,346342817
818,346342820
819,346342821
820,346342822
821,346342824
822,346342825
823,784604589
824,869533103
825,355739059
826,355739060
827,355739061
828,355739062
829,355739063
830,355739064
831,355739066
832,355739067
833,355739068
834,550337985
835,546213314
836,550337987
837,884739521
838,859760088
839,892243425
840,795411940
841,62952
842,462888429
843,462888438
844,800321458
845,841178620
846,757788157
847,418534911
848,418534912
849,418534913
850,611567196
851,611567197
852,44556
853,526876176
854,724809234
855,526876181
856,564092438
857,526876183
858,538560504
859,564092440
860,48664
861,399388187
862,564092444
863,48663
864,482498078
865,482498079
866,482498080
867,538560506
868,560850468
869,560850469
870,627496489
871,765826603
872,765826604
873,765826605
874,508124722
875,508124723
876,542287410
877,542287411
878,542287413
879,542287414
880,408784440
881,408784443
882,408784444
883,542287419
884,408784446
885,393627199
886,408784447
887,461094462
888,838954565
889,838954567
890,790263372
891,552453709
892,71248
893,492895825
894,419534419
895,419534425
896,345097818
897,345097819
898,345097820
899,345097821
900,345097822
901,345097823
902,345097824
903,345097825
904,345097826
905,345097827
906,345097828
907,434708064
908,535942754
909,611567198
910,611567199
911,611567200
912,666632111
913,690828907
914,690828906
915,690828900
916,360982130
917,820250226
918,829290099
919,820250230
920,820250231
921,9858
922,24348
923,401458822
924,401458823
925,371353224
926,401458824
927,483915399
928,483915403
929,760342154
930,760342155
931,876168843
932,876168844
933,371353232
934,371353233
935,395021968
936,876168847
937,7254
938,351018646
939,351018647
940,395021976
941,351018649
942,351018650
943,664313495
944,864229016
945,351018653
946,7256
947,351018655
948,351018656
949,351018657
