,Invalid
0,24589
1,343293972
2,611196959
3,768065570
4,768065571
5,611196964
6,611196965
7,867336232
8,867336233
9,867336240
10,867336241
11,867336242
12,867336243
13,425877556
14,397148223
15,397148225
16,397148226
17,397148227
18,397148228
19,397148229
20,397148231
21,397148232
22,397148234
23,369303633
24,369303634
25,369303635
26,519643218
27,369303637
28,369303638
29,519643223
30,369303640
31,369303641
32,369303642
33,369303643
34,519643219
35,361676922
36,361676925
37,361676926
38,361676927
39,361676928
40,361676929
41,361676930
42,361676931
43,361676932
44,361676933
45,353304710
46,353304711
47,353304712
48,353304713
49,353304714
50,353304715
51,353304716
52,353304717
53,353304718
54,353304719
55,353304720
56,457728138
57,491085979
58,535478436
59,880877739
60,880877748
61,637051061
62,637051062
63,637051067
64,344088804
65,344088805
66,344088806
67,344088807
68,599417064
69,344088809
70,344088810
71,344088811
72,344088812
73,472228075
74,344088814
75,16624
76,16625
77,16626
78,16632
79,546267386
80,451756294
81,490742028
82,490742029
83,490742030
84,652321041
85,641384726
86,641384727
87,641384728
88,652321047
89,652321048
90,695927077
91,695927080
92,695927082
93,695927083
94,583434542
95,583434543
96,695927086
97,583434547
98,583434550
99,466534718
100,466534728
101,466534729
102,475652426
103,350290251
104,475652424
105,475652425
106,640991564
107,498737490
108,498737491
109,498737495
110,777331063
111,340746633
112,340746634
113,340746635
114,340746636
115,340746637
116,340746638
117,340746639
118,340746640
119,340746641
120,340746642
121,340746643
122,340746644
123,717119887
124,717119888
125,861512085
126,861512089
127,485138842
128,861512091
129,861512092
130,861512093
131,485138847
132,861512096
133,485138850
134,722108835
135,722108837
136,722108839
137,57770
138,57771
139,57773
140,570089919
141,570089920
142,33228
143,33229
144,33236
145,565961176
146,565961178
147,565961179
148,565961180
149,788029914
150,788029915
151,387359200
152,387359201
153,565961185
154,565961186
155,387359204
156,788029923
157,788029924
158,387359207
159,696967656
160,725393896
161,725393897
162,725393895
163,66024
164,66025
165,584335854
166,584335855
167,584335856
168,696967663
169,725393902
170,725393903
171,66030
172,584335861
173,478020132
174,404750886
175,478020135
176,478020137
177,404750890
178,478020138
179,478020139
180,404750893
181,404750894
182,404750895
183,404750897
184,395002429
185,395002435
186,395002436
187,8773
188,8774
189,395002439
190,8775
191,8776
192,8781
193,678167127
194,678167132
195,576168541
196,576168542
197,576168543
198,678167133
199,678167135
200,678167136
201,41571
202,576168548
203,41572
204,505487974
205,633930343
206,505487976
207,505487977
208,633930342
209,41577
210,505487980
211,41578
212,633930350
213,414704254
214,414704256
215,414704257
216,414704258
217,414704262
218,414704263
219,349782679
220,579756704
221,579756705
222,568328893
223,504087231
224,568328900
225,651928262
226,594002637
227,766378701
228,594002639
229,594002640
230,766378705
231,766378707
232,371303124
233,371303125
234,371303126
235,371303127
236,752083672
237,371303129
238,752083671
239,766378709
240,824845018
241,371303133
242,371303134
243,881902295
244,881902303
245,558392055
246,558392056
247,558392064
248,750658320
249,750658322
250,750658323
251,750658324
252,750658325
253,750658326
254,750658327
255,750658328
256,750658329
257,750658330
258,532996891
259,532996892
260,750658331
261,479453995
262,382165807
263,479454000
264,382165810
265,382165811
266,382165812
267,592675635
268,382165814
269,382165815
270,382165816
271,25418
272,25419
273,25420
274,25426
275,699466647
276,699466648
277,366243032
278,346071992
279,501343189
280,501343190
281,501343195
282,501343196
283,749855724
284,749855729
285,50211
286,50212
287,50213
288,354567219
289,354567220
290,354567221
291,354567222
292,354567223
293,354567224
294,354567227
295,354567228
296,354567229
297,354567230
298,517825601
299,517825606
300,17487
301,17488
302,17489
303,723895407
304,862504067
305,862504076
306,33932
307,33933
308,33934
309,392176789
310,392176790
311,392176792
312,392176793
313,392176795
314,392176797
315,649061538
316,649061539
317,788907180
318,788907181
319,788907182
320,788907183
321,788907186
322,680658099
323,688260275
324,474539189
325,688260276
326,688260281
327,474539194
328,680658106
329,680658107
330,680658108
331,680658110
332,680658109
333,688260283
334,768664762
335,524371161
336,524371165
337,524371167
338,524371171
339,58598
340,58599
341,58602
342,768664821
343,656426235
344,656426237
345,612959502
346,612959503
347,530384156
348,530384157
349,530384158
350,66854
351,66855
352,66856
353,66857
354,66860
355,523388205
356,523388206
357,523388209
358,523388210
359,689325401
360,689325402
361,825369950
362,777938271
363,689325408
364,689325409
365,689325410
366,825369951
367,777938279
368,777938280
369,872473977
370,526345600
371,526345601
372,872473985
373,526345611
374,433628556
375,433628557
376,457728133
377,66981
378,66982
379,66983
380,66984
381,66985
382,66986
383,66987
384,66989
385,66990
386,66991
387,854025657
388,854025658
389,829982151
390,829982155
391,829982159
392,829982160
393,358111795
394,829982161
395,358111797
396,42459
397,358111798
398,672179682
399,617612772
400,617612773
401,617612774
402,617612775
403,617612776
404,617612778
405,617612782
406,347014644
407,347014645
408,347014646
409,347014647
410,347014648
411,347014650
412,347014651
413,347014652
414,347014653
415,347014654
416,347014655
417,815965691
418,713172501
419,713172507
420,811812390
421,811812394
