,Invalid
0,418324485
1,418324486
2,368885799
3,368885803
4,368885804
5,368885805
6,368885807
7,368885808
8,479068225
9,562970694
10,562970701
11,562970704
12,353304701
13,353304702
14,382656639
15,353304704
16,353304705
17,353304706
18,353304707
19,353304708
20,793362571
21,506650787
22,49357
23,49358
24,451756249
25,384385252
26,482214133
27,522526968
28,522526969
29,623968505
30,522526976
31,350290185
32,8459
33,57611
34,642154766
35,65808
36,528122152
37,617644329
38,617644330
39,464412975
40,482345265
41,482345270
42,482345272
43,466534742
44,466534745
45,502980954
46,466534747
47,596771165
48,41314
49,596771171
50,1003995491
51,41318
52,832364925
53,832364927
54,832364930
55,887980419
56,390881712
57,427819441
58,427819440
59,603226550
60,603226553
61,483131835
62,483131836
63,483131840
64,648815042
65,350290371
66,350290372
67,648815043
68,491184591
69,565961171
70,482214397
71,855163415
72,855163417
73,824451612
74,855163421
75,657392168
76,657392169
77,657392171
78,508871213
79,508871214
80,25141
81,500965942
82,25143
83,25142
84,356885074
85,668885601
86,477971042
87,668885607
88,531931755
89,531931759
90,815014523
91,370467463
92,370467464
93,370467465
94,370467467
95,883606204
96,660390647
97,798114572
98,356387367
99,356387368
100,356387369
101,356387370
102,881664810
103,338092848
104,338092849
105,338092850
106,338092851
107,338092852
108,338092853
109,338092854
110,338092855
111,338092856
112,338092857
113,338092858
114,881664820
115,881664821
116,523060033
117,523060035
118,523060036
119,58198
120,372065145
121,346071930
122,372065153
123,372065156
124,589865879
125,383583135
126,383583141
127,383583144
128,865289131
129,865289132
130,594715565
131,594715566
132,502563765
133,681952190
134,681952191
135,796099530
136,66520
137,66521
138,66522
139,767951838
140,473359330
141,646947813
142,473359335
143,473359337
144,520627178
145,520627179
146,520627177
147,520627181
148,497517563
149,497517564
150,497517566
151,446563347
152,847397925
153,847397926
154,465437779
155,785769583
156,760358001
157,66680
158,614163577
159,682083476
160,682083477
161,807306396
162,788907165
163,788907169
164,414352551
165,788907175
166,33965
167,500073654
168,500073656
169,765027512
170,512992444
171,512992445
172,512992448
173,42176
174,42178
175,672146627
176,42184
177,829146341
178,360482025
179,360482027
180,360482029
181,360482030
182,360482031
183,360482032
184,871384305
185,871384306
186,360482033
187,360482035
188,360482036
189,612959478
190,871384311
191,612959479
192,612959474
193,577398010
194,871384309
195,577398012
196,871384310
197,871384312
198,828638471
199,579659020
200,579659021
201,579659022
202,579659023
203,828638480
204,579659027
205,756884757
206,636486938
207,636486940
208,636486942
209,537519393
210,537519394
211,537519395
212,707257636
213,561235239
214,741655853
215,715957557
216,741655861
217,765478202
218,380929344
219,380929346
