,Invalid
0,827791364
1,623861768
2,623861771
3,875175949
4,647725070
5,875175951
6,875175953
7,740349970
8,877658072
9,55317
10,456456214
11,55318
12,707237912
13,707237913
14,456456218
15,55320
16,740349980
17,707237917
18,55319
19,55322
20,525625398
21,846606393
22,846606394
23,779243582
24,779243583
25,779243584
26,846606403
27,837230148
28,775475272
29,775475273
30,779243593
31,640882782
32,640882783
33,426786913
34,426786914
35,426786915
36,837230154
37,650115175
38,57461
39,57462
40,57463
41,822917243
42,41086
43,557054079
44,41087
45,65662
46,65664
47,65665
48,557054085
49,822917254
50,702388362
51,702388363
52,702388364
53,702388366
54,566382737
55,61591
56,61592
57,827699353
58,377301147
59,580851872
60,377301155
61,580851875
62,382656680
63,382656682
64,827791356
65,338868400
66,338868402
67,338868404
68,338868405
69,491086006
70,491086007
71,338868406
72,479135926
73,338868408
74,338868410
75,479135927
76,338868412
77,479135929
78,338868414
79,338868415
80,354515136
81,338868417
82,354515138
83,354515139
84,354515140
85,354515142
86,354515143
87,354515144
88,354515145
89,354515146
90,354515147
91,535478470
92,535478471
93,731965638
94,875176134
95,875176136
96,10451
97,10452
98,10453
99,10455
100,770857179
101,770857181
102,875176157
103,888959213
104,738072814
105,738072815
106,888959214
107,888959215
108,640882931
109,550361332
110,550361333
111,550361334
112,740378871
113,740378872
114,740378882
115,426787085
116,426787087
117,14610
118,14611
119,14612
120,14613
121,59674
122,59675
123,59676
124,623968543
125,623968544
126,59684
127,745290027
128,745290028
129,634972462
130,745290037
131,674476347
132,674476348
133,674476349
134,865622336
135,865622337
136,420178247
137,420178248
138,420178249
139,617984330
140,420178251
141,992485703
142,992485705
143,992485704
144,24915
145,723558740
146,723558742
147,472226138
148,472226139
149,472226140
150,24926
151,482214240
152,482214241
153,572688736
154,572688739
155,698513761
156,698513762
157,26991
158,26992
159,740378993
160,26993
161,888959352
162,70009
163,740379002
164,27002
165,467652988
166,557035901
167,557035902
168,557035903
169,629797245
170,667685249
171,467652994
172,667685250
173,667685251
174,695953789
175,695953791
176,702388615
177,702388618
178,558489998
179,356884879
180,356884880
181,356884881
182,356884882
183,356884884
184,356884885
185,356884886
186,356884887
187,356884888
188,469819799
189,469819800
190,469819801
191,479113623
192,479113624
193,479113626
194,665489823
195,726084000
196,620509601
197,620509602
198,620509603
199,665489825
200,726084002
201,1002314147
202,656279975
203,656279976
204,1002314148
205,1002314149
206,1002314150
207,1002314151
208,6573
209,6574
210,461099577
211,663022099
212,6575
213,50561
214,1002314157
215,832941887
216,6583
217,50562
218,865622458
219,832941888
220,865622459
221,865622460
222,50563
223,443537857
224,443537858
225,723558852
226,723558853
227,370420166
228,370420167
229,61963
230,370420169
231,370420170
232,443537868
233,383635917
234,601852365
235,370420175
236,601852366
237,718754255
238,718754257
239,723558862
240,779246032
241,779246033
242,530405846
243,364100058
244,364100059
245,702388699
246,364100061
247,702388701
248,702388702
249,705745371
250,705745372
251,364100066
252,445008355
253,705745380
254,445008357
255,18912
256,18913
257,18914
258,61971
259,629797361
260,629797362
261,667685377
262,710535681
263,638810627
264,638810628
265,710535682
266,716321283
267,451756551
268,451756552
269,667685385
270,710535687
271,716321285
272,61962
273,359676429
274,359676430
275,359676431
276,451756559
277,359676433
278,359676434
279,414990865
280,359676436
281,414990866
282,414990867
283,359676439
284,451756561
285,540566040
286,540566041
287,540566042
288,656366106
289,663022100
290,781969946
291,781969947
292,781969948
293,45600
294,781969954
295,45602
296,45604
297,45601
298,701045292
299,701045293
300,680757808
301,680757809
302,680757810
303,461099571
304,461099572
305,461099573
306,424712758
307,344128055
308,424712759
309,344128057
310,344128058
311,344128059
312,344128060
313,344128061
314,344128062
315,344128063
316,344128064
317,344128065
318,514075198
319,514075199
320,514075200
321,525253184
322,525253188
323,570159680
324,570159683
325,523375177
326,35401
327,35402
328,35404
329,660802126
330,889068111
331,660802128
332,889068112
333,599403094
334,656280155
335,656280156
336,472226399
337,472226400
338,472226401
339,597578337
340,597578338
341,597578339
342,472226405
343,634972774
344,824846945
345,718754408
346,472226409
347,718754409
348,824846946
349,824846947
350,601852525
351,718754413
352,732291697
353,732291698
354,732291700
355,760322679
356,718754425
357,811856506
358,561764987
359,561764989
360,23168
361,718723263
362,811856515
363,23171
364,57987
365,572605062
366,718723264
367,752001672
368,57989
369,23178
370,57988
371,57990
372,51853
373,51854
374,51855
375,756122258
376,756122262
377,889068184
378,889068185
379,889068187
380,629797534
381,877730472
382,877730474
383,877730478
384,718826160
385,718826161
386,388545202
387,504087219
388,504087220
389,842799794
390,504087222
391,874633824
392,877730484
393,570159801
394,570159802
395,705776313
396,504087228
397,705776314
398,601852606
399,561765055
400,601852607
401,561765057
402,538948290
403,488927939
404,488927940
405,488927941
406,538948291
407,538948292
408,714824385
409,714824386
410,496202442
411,496202443
412,496202444
413,694815435
414,694815436
415,496202450
416,56018
417,56019
418,534934234
419,824845020
420,824845021
421,597578463
422,707343072
423,707343073
424,781970144
425,767990499
426,597578468
427,781970145
428,824845023
429,824845028
430,592675560
431,42888
432,440959725
433,440959726
434,440959727
435,865598201
436,865598204
437,785769214
438,785769215
439,52664
440,785769223
441,785769224
442,52665
443,70412
444,70413
445,70414
446,399450895
447,399450896
448,66322
449,66323
450,66324
451,52667
452,70421
453,70422
454,64280
455,64281
456,771199770
457,64283
458,64282
459,350149405
460,350149406
461,350149407
462,350149408
463,350149409
464,350149410
465,350149411
466,350149412
467,350149413
468,350149414
469,350149415
470,350149416
471,501818153
472,637866789
473,501818155
474,561765165
475,561765166
476,998764324
477,430809904
478,771199794
479,998764325
480,430809909
481,430809910
482,561765174
483,663024450
484,663024451
485,416009029
486,416009031
487,416009033
488,416009041
489,716432216
490,716432217
491,1007029080
492,1007029081
493,1007029083
494,1007029082
495,13151
496,13152
497,13153
498,1007029088
499,877730660
500,811856744
501,811787114
502,811787115
503,811787116
504,13162
505,877730671
506,998755184
507,378649457
508,378649458
509,998755185
510,769428340
511,769428341
512,998755188
513,378649463
514,998755183
515,378649465
516,760458108
517,769428348
518,435594113
519,760458119
520,572605326
521,572605327
522,596355984
523,572605330
524,596355986
525,792204180
526,792204181
527,792204187
528,626271132
529,626271133
530,729385886
531,49030
532,592673697
533,592673698
534,729385890
535,48033
536,48034
537,48036
538,996299683
539,996299684
540,48043
541,346071980
542,346071981
543,346071982
544,346071983
545,346071984
546,346071985
547,346071986
548,346071987
549,346071988
550,528980914
551,346071990
552,346071991
553,528980917
554,528980921
555,760357826
556,41923
557,41924
558,41922
559,707343303
560,1004648348
561,41933
562,716432338
563,614163411
564,614163412
565,716432340
566,877723438
567,877658309
568,368866274
569,874691555
570,815100900
571,785769445
572,785769446
573,368866279
574,785769447
575,815100903
576,874691556
577,760458219
578,599542764
579,599542765
580,877723439
581,410702836
582,410702837
583,410702839
584,410702840
585,555162621
586,410702846
587,555162622
588,995845775
589,592673796
590,677645317
591,995845776
592,677645319
593,519461896
594,519461897
595,519461898
596,592673802
597,677645322
598,44040
599,44042
600,44039
601,54282
602,790180881
603,54283
604,790180883
605,54285
606,824820759
607,824820760
608,790180889
609,824820761
610,677645340
611,824820770
612,402887719
613,392625194
614,402887722
615,771199774
616,350147644
617,350147645
618,350147646
619,350147647
620,350147650
621,634917955
622,350147652
623,350147653
624,350147654
625,350147655
626,996299846
627,996299845
628,996299844
629,882009163
630,996299847
631,996299854
632,734653519
633,734653520
634,734653521
635,882009174
636,785769563
637,792134748
638,792134749
639,438520926
640,792134750
641,792134751
642,416009314
643,416009315
644,785769572
645,792134759
646,559494255
647,850664567
648,559494264
649,850664569
650,710515488
651,47039
652,710515489
653,850664575
654,882009220
655,465425541
656,465425542
657,882009221
658,465425544
659,807519369
660,807519370
661,882009223
662,465425549
663,587850912
664,837975200
665,837975201
666,837975202
667,17794
668,64960
669,702388628
670,21051
671,64961
672,680664247
673,568775864
674,568775865
675,680664249
676,860650681
677,606717116
678,64697
679,64698
680,568775874
681,1003117766
682,33993
683,33994
684,832941637
685,33998
686,695932111
687,695932112
688,695932114
689,832941639
690,785800409
691,886871261
692,850664670
693,886871262
694,886871266
695,832941642
696,485919979
697,485919980
698,832941644
699,882009335
700,547652860
701,547652861
702,547652862
703,846623999
704,996299693
705,547652866
706,782155011
707,782155012
708,782155013
709,882009346
710,25859
711,25860
712,606717194
713,606717195
714,643554578
715,765398293
716,451755291
717,790187293
718,451755294
719,790187294
720,451755296
721,757959969
722,790187295
723,790187296
724,841164061
725,841164062
726,617622822
727,451755303
728,617622823
729,757959979
730,498695468
731,498695470
732,860650798
733,654282032
734,432606519
735,432606520
736,578848060
737,432606525
738,578848061
739,70976
740,504089921
741,70977
742,504089923
743,70978
744,70979
745,70980
746,504089927
747,824846948
748,504089929
749,868957514
750,868957515
751,868957516
752,70981
753,745616719
754,745616720
755,792243542
756,792243543
757,745616730
758,792243551
759,60771
760,60772
761,804048234
762,60781
763,40302
764,40303
765,40304
766,36210
767,36211
768,752129398
769,9590
770,9591
771,9592
772,734778746
773,672138619
774,765398394
775,765398395
776,822949671
777,36221
778,17792
779,17793
780,672138626
781,675335555
782,675335556
783,617622917
784,561769862
785,561769863
786,617622918
787,822949672
788,21041
789,21040
790,822949674
791,5510
792,5509
793,771810704
794,7569
795,7570
796,771810707
797,15764
798,15765
799,15766
800,15767
801,7571
802,458628505
803,458628506
804,458628507
805,842792348
806,842792349
807,7573
808,605957538
809,605957539
810,19879
811,846624175
812,846624176
813,750374327
814,750374328
815,796151223
816,796151224
817,750374331
818,846624185
819,892812732
820,693385012
821,476745151
822,476745152
823,476745153
824,857130432
825,476745155
826,892812733
827,892812734
828,52669
829,64963
830,675362248
831,64969
832,857130442
833,64962
834,69072
835,69073
836,665337300
837,609406423
838,69083
839,804074972
840,665337309
841,804074973
842,804074974
843,54755
844,54756
845,54757
846,62986
847,62987
848,509335018
849,54762
850,509335020
851,54766
852,751957489
853,751957490
854,751957491
855,540593652
856,540593653
857,62990
858,854027770
859,13819
860,670592508
861,670592509
862,13820
863,670592511
864,13821
865,13822
866,461094404
867,461094405
868,461094406
869,13828
870,734778890
871,734778891
872,643552780
873,643552781
874,461094414
875,370449934
876,370449936
877,576081423
878,734778897
879,846624275
880,370449940
881,34321
882,34325
883,846624279
884,62991
885,370449945
886,520050204
887,520050205
888,370449950
889,520050206
890,34332
891,520050209
892,842792481
893,842792482
894,792243749
895,792243751
896,884739624
897,24105
898,24106
899,24107
900,792243771
901,550729284
902,550729285
903,550729286
904,530388551
905,525381192
906,765509189
907,765509190
908,829290055
909,829290056
910,829290057
911,546205262
912,829290060
913,829290064
914,546205265
915,638930514
916,546205267
917,710604372
918,611245653
919,546205270
920,710604373
921,58960
922,757788249
923,50778
924,50780
925,710604382
926,546205282
927,877658299
928,50789
929,434714216
930,434714217
931,434714220
932,832472684
933,832472691
934,56957
935,56958
936,56959
937,56960
938,56961
939,765398658
940,870434434
941,765398660
942,1005475460
943,56968
944,815074957
945,995845774
946,815074959
947,622458512
948,622458513
949,28306
950,28307
951,28305
952,517801621
953,517801622
954,517801623
955,587839126
956,540593817
957,540593818
958,517801627
959,540593819
960,28309
961,632788638
962,28315
963,894754464
964,632788641
965,576079522
966,894754465
967,580853412
968,580853413
969,863837862
970,580853415
971,863837863
972,632815281
973,756242099
974,516073140
975,516073141
976,632815284
977,756242100
978,516073145
979,58959
980,829183679
981,829183680
982,829183681
983,46783
984,46784
985,870434503
986,870434504
987,829183689
988,58961
989,626218700
990,775474892
991,775474893
992,857138892
993,994164435
994,815075029
995,815075030
996,22329
997,650237656
998,650237657
999,22330
1000,22331
1001,434716403
1002,423046905
1003,423046906
1004,423046907
1005,423046908
1006,434716412
1007,820735738
1008,820735739
1009,820735740
1010,820735741
1011,820735742
1012,423046916
1013,614246149
1014,614246150
1015,689293065
1016,397537034
1017,689293066
1018,710604553
1019,710604554
1020,580904718
1021,710604557
1022,397537041
1023,400273169
1024,400273170
1025,400273171
1026,998752030
1027,382656289
1028,998752034
1029,382656291
1030,400273187
1031,764579619
1032,765509412
1033,822949669
1034,822949670
1035,343293737
1036,343293738
1037,343293739
1038,343293740
1039,343293741
1040,343293742
1041,343293743
1042,343293744
1043,343293745
1044,343293746
1045,729421615
1046,340752180
1047,340752181
1048,340752182
1049,340752183
1050,340752184
1051,340752185
1052,340752186
1053,340752187
1054,340752188
1055,340752189
1056,340752190
1057,375170875
1058,375170879
1059,707237697
1060,375170882
1061,360982339
1062,360982340
1063,375170884
1064,360982342
1065,707237698
1066,375170888
1067,707237699
1068,707237700
1069,707237701
1070,360982348
1071,832941898
1072,360949585
1073,360949586
1074,360949587
1075,360949589
1076,360949593
1077,360949594
1078,360949595
1079,820735839
1080,820735840
1081,64284
1082,64285
1083,853983089
1084,865722225
1085,865722226
1086,550729588
1087,865722234
1088,673093500
1089,726243196
1090,726243197
1091,810772351
1092,810772352
1093,810772353
1094,49026
1095,49027
1096,49028
1097,647724933
1098,673093509
1099,647724935
1100,683145095
1101,683145096
1102,683145098
1103,724780934
