,Invalid
0,65538
1,591912968
2,591912969
3,591912970
4,591912973
5,399343632
6,846512151
7,846512152
8,998752307
9,24641
10,24642
11,24643
12,24644
13,379306104
14,379306105
15,379306106
16,632086651
17,379306108
18,379306109
19,632086654
20,632086650
21,632086657
22,632086658
23,632086659
24,632086660
25,399499405
26,876494996
27,876494999
28,605847777
29,605847785
30,605847786
31,605847787
32,528122137
33,528122138
34,528122139
35,528122143
36,528122146
37,796410156
38,796410157
39,16686
40,16684
41,778920240
42,16688
43,778920242
44,796410162
45,16685
46,16692
47,41337
48,41340
49,869634303
50,755081653
51,755081659
52,664625598
53,427819455
54,57792
55,57793
56,427819458
57,427819459
58,57794
59,57795
60,825295302
61,664625608
62,825295307
63,556982746
64,556982748
65,556982749
66,556982752
67,505889265
68,505889270
69,669286905
70,33300
71,33301
72,33308
73,33309
74,66079
75,66080
76,647668257
77,647668258
78,647668259
79,66082
80,66081
81,647668262
82,694780485
83,553968231
84,553968232
85,553968233
86,553968235
87,725410425
88,725410426
89,725410433
90,8833
91,725410435
92,716432004
93,480674437
94,480674438
95,480674439
96,480674440
97,725410436
98,478388874
99,478388875
100,8842
101,783008404
102,783008413
103,537805470
104,537805471
105,827523744
106,537805473
107,537805474
108,827523745
109,749544101
110,749544102
111,41638
112,41639
113,41641
114,749544106
115,749544107
116,827523754
117,765190829
118,765190830
119,765190835
120,714982116
121,714982120
122,714982121
123,798114545
124,798114552
125,491184900
126,888242952
127,640312074
128,640312075
129,888242958
130,888242959
131,888242963
132,733774620
133,733774621
134,733774622
135,733774623
136,733774625
137,733774626
138,733774631
139,572941096
140,572941097
141,572941098
142,572941099
143,572941102
144,572941103
145,419873588
146,419873591
147,419873592
148,419873594
149,881664831
150,881664832
151,870400838
152,637043544
153,637043545
154,637043553
155,637043554
156,824845175
157,401236872
158,25490
159,25491
160,695501733
161,695501734
162,513074103
163,513074104
164,513074105
165,513074109
166,690766783
167,690766787
168,703218636
169,703218637
170,703218640
171,641024996
172,626271207
173,784950277
174,784950278
175,415712265
176,415712266
177,495322168
178,495322169
179,495322172
180,495322173
181,495322176
182,495322177
183,495322178
184,50258
185,643187813
186,643187814
187,643187818
188,634979435
189,643187819
190,781493372
191,781493373
192,781493374
193,781493377
194,781493378
195,526566531
196,526566534
197,458007691
198,587850892
199,526566541
200,831186060
201,831186063
202,458007697
203,780420269
204,780420270
