,Invalid
0,656343041
1,656343042
2,550361091
3,632745993
4,632745994
5,632745995
6,632745996
7,632745998
8,707237902
9,707237903
10,707237905
11,726243346
12,726243347
13,726243348
14,775475215
15,775475216
16,779243535
17,779243536
18,779243537
19,40982
20,40980
21,22556
22,22557
23,22558
24,410810401
25,892831777
26,892831778
27,870434859
28,601815084
29,456456237
30,601815085
31,601815086
32,870678575
33,680665137
34,870678576
35,870434860
36,870434861
37,785346613
38,870434867
39,870678583
40,785346616
41,547653689
42,870434868
43,870678596
44,870678597
45,471119943
46,471119944
47,629829712
48,629829713
49,629829714
50,597418068
51,597418069
52,672063572
53,585152599
54,585152600
55,597418071
56,585152602
57,585152603
58,585152604
59,672063575
60,672063581
61,680665183
62,685422683
63,685422684
64,685422686
65,710535258
66,710535261
67,710535263
68,710535264
69,65639
70,65638
71,65640
72,764145771
73,10347
74,10350
75,10351
76,65648
77,832788593
78,832788594
79,764145779
80,832788595
81,832788596
82,10355
83,580853879
84,580853880
85,580853881
86,832788601
87,61557
88,61558
89,580853887
90,857139332
91,34949
92,34948
93,875176074
94,775475340
95,775475341
96,857139341
97,857139343
98,875176080
99,775475345
100,34956
101,430776469
102,846606491
103,557054108
104,557054109
105,698431644
106,846606493
107,846606494
108,846606496
109,403013796
110,403013797
111,403013798
112,403013799
113,698431652
114,745289896
115,745289897
116,745289898
117,14503
118,566382766
119,566382768
120,37041
121,37042
122,37043
123,472166590
124,472166592
125,472166599
126,718723273
127,718723274
128,995539147
129,597418207
130,597418208
131,822917343
132,557054178
133,597418210
134,597418211
135,623859941
136,623859942
137,822917344
138,870678753
139,870678754
140,24808
141,557054187
142,24816
143,516002043
144,710535256
145,710535257
146,516002049
147,695953666
148,888959234
149,685412612
150,685412613
151,695953668
152,26884
153,685412622
154,606648597
155,846606615
156,606648600
157,846606616
158,846606617
159,6425
160,6426
161,491086117
162,491086118
163,853520683
164,853520684
165,853520685
166,529058096
167,479113523
168,479113524
169,865597764
170,397584713
171,837931347
172,837931348
173,698513749
174,698513750
175,587419995
176,587419996
177,698513757
178,587419998
179,69985
180,69986
181,69987
182,420178279
183,69992
184,420178281
185,69994
186,420178283
187,420178284
188,807756510
189,420178287
190,656365942
191,656365943
192,18807
193,18808
194,640991620
195,640991621
196,557054350
197,479136143
198,479136144
199,557054351
200,530315667
201,67987
202,557054357
203,67990
204,426785178
205,415971740
206,415971741
207,415971742
208,426785180
209,426785182
210,467653020
211,467653022
212,634972573
213,467653028
214,634972575
215,663021982
216,663021983
217,663021990
218,718723496
219,718723497
220,827795880
221,827795881
222,827795883
223,660801966
224,660801967
225,660801968
226,827795888
227,683143602
228,683143604
229,683143605
230,683143606
231,865597886
232,718825919
233,718825920
234,865597887
235,718825922
236,49598
237,710535621
238,710535622
239,710535623
240,718825928
241,49607
242,20934
243,667728335
244,618363344
245,618363345
246,618363346
247,618363347
248,667728336
249,667728337
250,820259285
251,820259286
252,846606808
253,43474
254,43482
255,43475
256,43484
257,43485
258,18005
259,656280033
260,656280034
261,572688867
262,461099492
263,426787301
264,426787302
265,461099493
266,656280035
267,660802024
268,660802025
269,660802026
270,61927
271,61926
272,792203765
273,850665973
274,460116471
275,460116472
276,850665974
277,744352250
278,792203772
279,467653118
280,515265040
281,515265043
282,23068
283,23070
284,423713314
285,423713315
286,540566052
287,51748
288,51750
289,677866026
290,51756
291,517810739
292,517810740
293,517810742
294,889068092
295,599403070
296,599403071
297,599403072
298,656280131
299,634796612
300,634796613
301,731337286
302,731337287
303,634796617
304,525253195
305,525253196
306,525253197
307,634796620
308,424712783
309,731337296
310,815100493
311,424712787
312,815100503
313,69726
314,701045340
315,716321376
316,69728
317,798984813
318,425857647
319,425857648
320,425857649
321,425857650
322,451756655
323,451756656
324,726205045
325,425857656
326,726205050
327,549423739
328,549423742
329,549423746
330,549423747
331,461099659
332,461099660
333,718826128
