,Invalid
0,747894811
1,848377885
2,747894814
3,747894815
4,848377887
5,848377892
6,724318251
7,724318252
8,630388781
9,34867
10,623882292
11,623882293
12,623882295
13,636520504
14,888578109
15,742948936
16,47177
17,338149450
18,63564
19,742948941
20,787744845
21,787744846
22,47182
23,605947988
24,529367127
25,830535767
26,32859
27,785389663
28,344445030
29,759713896
30,726157418
31,726157419
32,759713902
33,379306110
34,361349260
35,361349261
36,722145420
37,722145421
38,632832145
39,632832146
40,698499221
41,698499222
42,719976599
43,719976598
44,722145429
45,886802587
46,716570781
47,532465822
48,532465823
49,698499232
50,445087905
51,716570784
52,532465827
53,445087908
54,716570783
55,775497906
56,775497908
57,775497909
58,386998460
59,654168252
60,654168258
61,669673684
62,414630106
63,544215260
64,828010716
65,414630114
66,828010723
67,469407972
68,828010726
69,344742120
70,344742121
71,344742122
72,384385265
73,384385266
74,588310790
75,716286218
76,588310795
77,777359626
78,660832531
79,689725715
80,726663448
81,726663449
82,640987418
83,690843933
84,690843941
85,768543030
86,483184951
87,768543033
88,449161533
89,768543037
90,677341509
91,412713289
92,531267919
93,486005074
94,486005076
95,486005077
96,531267926
97,531267924
98,536537444
99,464736622
100,464736623
101,49520
102,611275121
103,49521
104,693242229
105,49525
106,693242232
107,693242233
108,693242237
109,693242238
110,693242239
111,43405
112,586953106
113,578742681
114,14761
115,674910634
116,14762
117,700189100
118,14763
119,14765
120,609360303
121,487702960
122,703220145
123,487702962
124,14769
125,609360308
126,875782580
127,703220154
128,703220155
129,703220156
130,70082
131,70086
132,63948
133,63949
134,63950
135,381762000
136,381762002
137,803701202
138,611224023
139,611224024
140,675748318
141,404824551
142,508547569
143,753469937
144,753469939
145,508547573
146,508547574
147,608680441
148,356389370
149,695101951
150,784927232
151,772497923
152,615326212
153,615326213
154,451717640
155,451717642
156,451717645
157,451717646
158,451717647
159,451717650
160,554228253
161,597555745
162,554740272
163,554740275
164,576543291
165,670542412
166,670542419
167,770464360
168,728582761
169,728582762
170,645823091
171,645823092
172,645823093
173,534076024
174,534076025
175,534076026
176,19076
177,783008392
178,19085
179,520923790
180,19086
181,392153756
182,392153757
183,392153758
184,591229599
185,829575841
186,392153763
187,714541741
188,384012996
189,70346
190,384013004
191,729510612
192,601852630
193,680260312
194,729510618
195,479154918
196,649804522
197,614148850
198,614148856
