,Invalid
0,656343041
1,656343042
2,550361091
3,632745993
4,632745994
5,632745995
6,632745996
7,632745998
8,707237902
9,707237903
10,707237905
11,726243346
12,726243347
13,726243348
14,775475215
15,775475216
16,779243535
17,779243536
18,779243537
19,40982
20,40980
21,22556
22,22557
23,22558
24,410810401
25,892831777
26,892831778
27,870434859
28,601815084
29,456456237
30,601815085
31,601815086
32,870678575
33,680665137
34,870678576
35,870434860
36,870434861
37,785346613
38,870434867
39,870678583
40,785346616
41,547653689
42,870434868
43,870678596
44,870678597
45,471119943
46,471119944
47,629829712
48,629829713
49,629829714
50,597418068
51,597418069
52,672063572
53,585152599
54,585152600
55,597418071
56,585152602
57,585152603
58,585152604
59,672063575
60,672063581
61,680665183
62,685422683
63,685422684
64,685422686
65,710535258
66,710535261
67,710535263
68,710535264
69,65639
70,65638
71,65640
72,764145771
73,10347
74,10350
75,10351
76,65648
77,832788593
78,832788594
79,764145779
80,832788595
81,832788596
82,10355
83,580853879
84,580853880
85,580853881
86,832788601
87,61557
88,61558
89,580853887
90,857139332
91,34949
92,34948
93,875176074
94,775475340
95,775475341
96,857139341
97,857139343
98,875176080
99,775475345
100,34956
101,430776469
102,846606491
103,557054108
104,557054109
105,698431644
106,846606493
107,846606494
108,846606496
109,403013796
110,403013797
111,403013798
112,403013799
113,698431652
114,745289896
115,745289897
116,745289898
117,14503
118,566382766
119,566382768
120,37041
121,37042
122,37043
123,472166590
124,472166592
125,472166599
126,718723273
127,718723274
128,995539147
129,597418207
130,597418208
131,822917343
132,557054178
133,597418210
134,597418211
135,623859941
136,623859942
137,822917344
138,870678753
139,870678754
140,24808
141,557054187
142,24816
143,516002043
144,710535256
145,710535257
146,516002049
147,695953666
148,888959234
149,685412612
150,685412613
151,695953668
152,26884
153,685412622
154,606648597
155,846606615
156,606648600
157,846606616
158,846606617
159,6425
160,6426
161,491086117
162,491086118
163,853520683
164,853520684
165,853520685
166,18003
167,529058096
168,479113523
169,479113524
170,865597764
171,397584713
172,837931347
173,837931348
174,698513749
175,698513750
176,892812676
177,587419995
178,587419996
179,698513757
180,587419998
181,69985
182,69986
183,69987
184,420178279
185,69992
186,420178281
187,69994
188,420178283
189,420178284
190,420178287
191,656365942
192,656365943
193,18807
194,18808
195,640991620
196,640991621
197,557054350
198,479136143
199,479136144
200,557054351
201,530315667
202,67987
203,557054357
204,67990
205,881692523
206,426785178
207,415971740
208,415971741
209,415971742
210,426785180
211,426785182
212,467653020
213,467653022
214,634972573
215,467653028
216,634972575
217,663021982
218,663021983
219,663021990
220,718723496
221,718723497
222,827795880
223,827795881
224,827795883
225,660801966
226,660801967
227,660801968
228,827795888
229,683143602
230,683143604
231,683143605
232,683143606
233,865597886
234,718825919
235,718825920
236,865597887
237,718825922
238,49598
239,710535621
240,710535622
241,710535623
242,718825928
243,49607
244,20934
245,667728335
246,618363344
247,618363345
248,618363346
249,618363347
250,667728336
251,667728337
252,820259285
253,820259286
254,846606808
255,43474
256,43482
257,43475
258,43484
259,43485
260,656280033
261,656280034
262,572688867
263,461099492
264,426787301
265,426787302
266,461099493
267,656280035
268,660802024
269,660802025
270,660802026
271,61927
272,61926
273,792203765
274,850665973
275,460116471
276,460116472
277,850665974
278,744352250
279,792203772
280,467653118
281,515265040
282,515265043
283,23068
284,23070
285,423713314
286,423713315
287,540566052
288,51748
289,51750
290,677866026
291,51756
292,517810739
293,517810740
294,517810742
295,889068092
296,599403070
297,599403071
298,599403072
299,656280131
300,634796612
301,634796613
302,731337286
303,731337287
304,634796617
305,525253195
306,525253196
307,525253197
308,634796620
309,424712783
310,731337296
311,815100493
312,424712787
313,815100503
314,69726
315,701045340
316,716321376
317,69728
318,798984813
319,425857647
320,425857648
321,425857649
322,425857650
323,451756655
324,451756656
325,726205045
326,425857656
327,726205050
328,549423739
329,549423742
330,549423746
331,549423747
332,461099659
333,461099660
