Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
,yallah yallah,,,1.0,,,,995179386,457,Maiden,temora,2024-02-07,poo,poo
,it's a freeze,,,1.0,,,,995179386,457,Maiden,temora,2024-02-07,poo,poo
2.0,it's party time,2.0,26.1,17.0,,,26.54,995179386,457,Maiden,temora,2024-02-07,poo,poo
5.0,social assassin,3.0,31.1,3.8,,,27.02,995179386,457,Maiden,temora,2024-02-07,poo,poo
3.0,lady amron,6.0,25.1,6.0,,,26.6,995179386,457,Maiden,temora,2024-02-07,poo,poo
1.0,wonder kid,7.0,27.8,2.2,,,26.36,995179386,457,Maiden,temora,2024-02-07,poo,poo
4.0,irinka sonic,8.0,36.2,4.6,,,26.72,995179386,457,Maiden,temora,2024-02-07,poo,poo
6.0,sly sticker,1.0,27.5,7.0,,,19.54,995179387,330,Maiden,temora,2024-02-07,poo,poo
4.0,reefton annie,2.0,27.3,16.0,,,19.51,995179387,330,Maiden,temora,2024-02-07,poo,poo
4.0,chelsea's chance,3.0,29.5,4.6,,,19.51,995179387,330,Maiden,temora,2024-02-07,poo,poo
1.0,romantic secret,4.0,27.3,10.0,,,18.99,995179387,330,Maiden,temora,2024-02-07,poo,poo
8.0,romantic date,5.0,25.5,34.0,,,19.74,995179387,330,Maiden,temora,2024-02-07,poo,poo
7.0,lamia fawn,6.0,27.9,1.9,,,19.66,995179387,330,Maiden,temora,2024-02-07,poo,poo
3.0,jacobite farm,7.0,37.8,13.0,,,19.24,995179387,330,Maiden,temora,2024-02-07,poo,poo
2.0,ice edge,8.0,28.9,14.0,,,19.02,995179387,330,Maiden,temora,2024-02-07,poo,poo
,forgotten few,,,1.0,,,,995179387,330,Maiden,temora,2024-02-07,poo,poo
,manila shelby,,,1.0,,,,995179387,330,Maiden,temora,2024-02-07,poo,poo
,miss missy,,,1.0,,,,995179388,330,7,temora,2024-02-07,poo,poo
3.0,nightmare on elm,1.0,36.6,3.6,,,19.48,995179388,330,7,temora,2024-02-07,poo,poo
2.0,zulu zebra,2.0,27.5,8.0,,,19.42,995179388,330,7,temora,2024-02-07,poo,poo
1.0,barooga lucy,3.0,27.8,2.1,,,18.92,995179388,330,7,temora,2024-02-07,poo,poo
4.0,aussie misty,4.0,28.6,17.0,,,19.5,995179388,330,7,temora,2024-02-07,poo,poo
8.0,reefton bluebell,5.0,24.0,26.0,,,19.97,995179388,330,7,temora,2024-02-07,poo,poo
6.0,zarzu,6.0,33.8,10.0,,,19.82,995179388,330,7,temora,2024-02-07,poo,poo
5.0,big sammy,7.0,33.1,8.0,,,19.55,995179388,330,7,temora,2024-02-07,poo,poo
7.0,lena's baby,8.0,26.2,61.0,,,19.9,995179388,330,7,temora,2024-02-07,poo,poo
,aussie misty,,,1.0,,,,995179389,330,7,temora,2024-02-07,poo,poo
6.0,tammy turbo,1.0,26.0,16.0,,,19.92,995179389,330,7,temora,2024-02-07,poo,poo
8.0,saint remy,2.0,27.0,12.0,,,19.99,995179389,330,7,temora,2024-02-07,poo,poo
3.0,lumeah max,3.0,33.1,7.0,,,19.33,995179389,330,7,temora,2024-02-07,poo,poo
1.0,bart's chance,4.0,37.5,2.0,,,19.2,995179389,330,5,temora,2024-02-07,poo,poo
5.0,got the keys,5.0,31.9,21.0,,,19.51,995179389,330,7,temora,2024-02-07,poo,poo
7.0,saiko,6.0,33.2,51.0,,,19.96,995179389,330,6,temora,2024-02-07,poo,poo
2.0,sky's mate,7.0,31.7,3.7,,,19.23,995179389,330,5,temora,2024-02-07,poo,poo
4.0,dana owen,8.0,28.7,10.0,,,19.49,995179389,330,7,temora,2024-02-07,poo,poo
,aussie misty,,,1.0,,,,995179390,330,7,temora,2024-02-07,poo,poo
3.0,princess keevara,1.0,27.2,5.0,,,19.5,995179390,330,5,temora,2024-02-07,poo,poo
2.0,only ollie,2.0,31.0,2.9,,,19.35,995179390,330,5,temora,2024-02-07,poo,poo
5.0,lussiana boy,3.0,32.8,41.0,,,19.83,995179390,330,6,temora,2024-02-07,poo,poo
6.0,dana zena,4.0,25.7,8.5,,,19.91,995179390,330,6,temora,2024-02-07,poo,poo
6.0,regal torana,5.0,32.5,31.0,,,19.91,995179390,330,5,temora,2024-02-07,poo,poo
4.0,tender heights,6.0,27.2,14.0,,,19.8,995179390,330,5,temora,2024-02-07,poo,poo
8.0,trunchbull,7.0,24.5,6.5,,,19.92,995179390,330,5,temora,2024-02-07,poo,poo
1.0,classy moreira,8.0,30.0,3.5,,,19.28,995179390,330,5,temora,2024-02-07,poo,poo
7.0,solo traveller,1.0,33.5,81.0,,,26.83,995179391,457,7,temora,2024-02-07,poo,poo
3.0,mepunga master,2.0,32.6,23.0,,,26.63,995179391,457,6,temora,2024-02-07,poo,poo
4.0,candice keeping,3.0,26.4,1.5,,,26.72,995179391,457,5,temora,2024-02-07,poo,poo
8.0,beverley,4.0,32.6,61.0,,,26.95,995179391,457,7,temora,2024-02-07,poo,poo
2.0,mailman malone,5.0,35.8,41.0,,,26.62,995179391,457,7,temora,2024-02-07,poo,poo
4.0,my rusty halo,6.0,25.2,4.8,,,26.72,995179391,457,5,temora,2024-02-07,poo,poo
6.0,amron red,7.0,32.3,6.0,,,26.81,995179391,457,5,temora,2024-02-07,poo,poo
1.0,yarramundi garth,8.0,42.1,13.0,,,26.0,995179391,457,6,temora,2024-02-07,poo,poo
,burst of perfume,,,1.0,,,,995179391,457,7,temora,2024-02-07,poo,poo
3.0,fancy mal,1.0,32.9,23.0,,,26.17,995179392,457,5,temora,2024-02-07,poo,poo
4.0,zali keeping,2.0,28.2,1.45,,,26.27,995179392,457,5,temora,2024-02-07,poo,poo
8.0,flex up,3.0,27.7,81.0,,,26.99,995179392,457,5,temora,2024-02-07,poo,poo
2.0,it's a craze,4.0,27.6,5.5,,,26.0,995179392,457,6,temora,2024-02-07,poo,poo
7.0,indy vulcan,5.0,32.3,71.0,,,26.87,995179392,457,7,temora,2024-02-07,poo,poo
1.0,belle izmir,6.0,32.3,5.5,,,25.84,995179392,457,5,temora,2024-02-07,poo,poo
6.0,who knows reg,7.0,31.3,17.0,,,26.55,995179392,457,5,temora,2024-02-07,poo,poo
5.0,green gypsy,8.0,24.6,21.0,,,26.3,995179392,457,6,temora,2024-02-07,poo,poo
,burst of perfume,,,1.0,,,,995179392,457,7,temora,2024-02-07,poo,poo
,heston's mate,,,1.0,,,,995179393,457,5,temora,2024-02-07,poo,poo
4.0,betty mayo,1.0,26.3,10.0,,,25.91,995179393,457,5,temora,2024-02-07,poo,poo
5.0,bonnie's chance,2.0,27.1,7.0,,,26.1,995179393,457,4,temora,2024-02-07,poo,poo
6.0,lowick bale,3.0,29.8,17.0,,,26.12,995179393,457,5,temora,2024-02-07,poo,poo
1.0,tequila bandit,4.0,29.8,19.0,,,25.84,995179393,457,4,temora,2024-02-07,poo,poo
3.0,lamia mimma,5.0,26.8,3.1,,,25.88,995179393,457,5,temora,2024-02-07,poo,poo
2.0,whirlwind ethics,6.0,29.6,15.0,,,25.86,995179393,457,5,temora,2024-02-07,poo,poo
8.0,latrell keeping,7.0,34.0,7.0,,,26.41,995179393,457,5,temora,2024-02-07,poo,poo
7.0,ace's chance,8.0,34.0,3.0,,,26.36,995179393,457,4,temora,2024-02-07,poo,poo
,cawbourne silver,,,1.0,,,,995179393,457,5,temora,2024-02-07,poo,poo
,aussie misty,,,1.0,,,,995179394,330,7,temora,2024-02-07,poo,poo
2.0,orson aria,1.0,25.0,2.7,,,18.8,995179394,330,5,temora,2024-02-07,poo,poo
6.0,powerful gas,2.0,32.7,41.0,,,19.21,995179394,330,5,temora,2024-02-07,poo,poo
1.0,roses ring,3.0,29.8,2.9,,,18.78,995179394,330,5,temora,2024-02-07,poo,poo
3.0,embarking,4.0,28.6,41.0,,,19.15,995179394,330,5,temora,2024-02-07,poo,poo
7.0,trixie's chance,5.0,24.5,8.0,,,19.39,995179394,330,5,temora,2024-02-07,poo,poo
3.0,dana xavier,6.0,29.0,14.0,,,19.15,995179394,330,5,temora,2024-02-07,poo,poo
3.0,jacobite dream,7.0,30.1,4.8,,,19.15,995179394,330,5,temora,2024-02-07,poo,poo
7.0,dana tiny,8.0,22.7,26.0,,,19.39,995179394,330,5,temora,2024-02-07,poo,poo
,aussie misty,,,1.0,,,,995179395,330,7,temora,2024-02-07,poo,poo
4.0,electric lady,1.0,28.3,11.0,,,19.29,995179395,330,5,temora,2024-02-07,poo,poo
6.0,dancing betty,2.0,30.3,3.2,,,19.38,995179395,330,5,temora,2024-02-07,poo,poo
8.0,trudy's chance,3.0,30.1,17.0,,,20.5,995179395,330,5,temora,2024-02-07,poo,poo
5.0,dana rex,4.0,31.0,7.5,,,19.33,995179395,330,5,temora,2024-02-07,poo,poo
1.0,correctly,5.0,35.3,9.0,,,18.98,995179395,330,5,temora,2024-02-07,poo,poo
6.0,tom's express,6.0,30.7,26.0,,,19.38,995179395,330,5,temora,2024-02-07,poo,poo
1.0,roger the dodger,7.0,33.8,2.8,,,18.98,995179395,330,5,temora,2024-02-07,poo,poo
3.0,dana dasha,8.0,25.7,8.5,,,19.06,995179395,330,5,temora,2024-02-07,poo,poo
,dana poppie,,,1.0,,,,995179396,330,4,temora,2024-02-07,poo,poo
4.0,dana violet,1.0,25.3,9.5,,,19.08,995179396,330,4,temora,2024-02-07,poo,poo
3.0,dana ripper,3.0,28.6,3.3,,,19.04,995179396,330,5,temora,2024-02-07,poo,poo
5.0,i'm big deal,4.0,24.1,4.4,,,19.2,995179396,330,5,temora,2024-02-07,poo,poo
7.0,cruzin' ace,5.0,29.5,9.0,,,19.35,995179396,330,5,temora,2024-02-07,poo,poo
5.0,purdy's chance,6.0,34.0,9.5,,,19.2,995179396,330,4,temora,2024-02-07,poo,poo
2.0,lightning fiamma,7.0,25.4,19.0,,,18.84,995179396,330,4,temora,2024-02-07,poo,poo
1.0,pooky holler,8.0,25.7,3.2,,,18.74,995179396,330,4,temora,2024-02-07,poo,poo
5.0,clive's chance,1.0,35.6,2.5,,,18.89,995179397,330,2,temora,2024-02-07,poo,poo
3.0,special zamba,2.0,33.8,11.0,,,18.78,995179397,330,4,temora,2024-02-07,poo,poo
8.0,lamancha,3.0,31.9,71.0,,,19.71,995179397,330,4,temora,2024-02-07,poo,poo
4.0,call me elf,4.0,30.9,4.8,,,18.83,995179397,330,1,temora,2024-02-07,poo,poo
7.0,dynamic,5.0,30.2,23.0,,,19.12,995179397,330,4,temora,2024-02-07,poo,poo
2.0,bull's chance,6.0,33.7,3.9,,,18.76,995179397,330,4,temora,2024-02-07,poo,poo
1.0,my mate timmy,7.0,30.2,17.0,,,18.74,995179397,330,4,temora,2024-02-07,poo,poo
6.0,kate's desire,8.0,27.6,5.5,,,19.05,995179397,330,4,temora,2024-02-07,poo,poo
,seymour lane,,,1.0,,,,995179499,520,Maiden,wentworth park,2024-02-09,poo,poo
,lightfoot lola,,,1.0,,,,995179499,520,Maiden,wentworth park,2024-02-09,poo,poo
,our boy angus,,,1.0,,,,995179499,520,Maiden,wentworth park,2024-02-09,poo,poo
5.0,little man jay,1.0,28.7,11.0,423,5.54,32.27,995179499,520,Maiden,wentworth park,2024-02-09,poo,poo
4.0,true inspiration,3.0,27.7,2.7,145,5.59,30.94,995179499,520,Maiden,wentworth park,2024-02-09,poo,poo
3.0,tarawi zoomer,5.0,29.9,21.0,554,5.69,30.8,995179499,520,Maiden,wentworth park,2024-02-09,poo,poo
1.0,steal a march,6.0,30.2,2.5,211,5.51,29.81,995179499,520,Maiden,wentworth park,2024-02-09,poo,poo
2.0,bridge builder,8.0,28.7,4.0,332,5.56,30.79,995179499,520,Maiden,wentworth park,2024-02-09,poo,poo
,yarramundi boaz,,,1.0,,,,995179500,520,6,wentworth park,2024-02-09,poo,poo
7.0,cait rod's pearl,1.0,29.7,8.5,467,5.69,30.71,995179500,520,6,wentworth park,2024-02-09,poo,poo
2.0,ritza trish,2.0,26.5,5.5,374,5.68,30.07,995179500,520,7,wentworth park,2024-02-09,poo,poo
3.0,ando prince,4.0,33.2,11.0,543,5.62,30.17,995179500,520,7,wentworth park,2024-02-09,poo,poo
1.0,boston banner,5.0,31.7,7.5,222,5.57,29.97,995179500,520,6,wentworth park,2024-02-09,poo,poo
5.0,autumn cloud,6.0,29.9,11.0,635,5.6,30.57,995179500,520,6,wentworth park,2024-02-09,poo,poo
6.0,backline pie,7.0,31.8,31.0,756,5.66,30.6,995179500,520,6,wentworth park,2024-02-09,poo,poo
4.0,hurricane reign,8.0,28.5,1.8,111,5.5,30.28,995179500,520,6,wentworth park,2024-02-09,poo,poo
3.0,potent cartier,1.0,33.1,3.7,143,5.66,31.0,995179501,520,6,wentworth park,2024-02-09,poo,poo
,ruby's wish,2.0,26.8,1.0,,,,995179501,520,7,wentworth park,2024-02-09,poo,poo
,he's a bridge,3.0,30.1,1.0,,,,995179501,520,7,wentworth park,2024-02-09,poo,poo
5.0,twinkle toes tex,4.0,32.4,5.5,535,5.63,31.97,995179501,520,6,wentworth park,2024-02-09,poo,poo
1.0,hush hush,5.0,33.8,3.0,311,5.58,30.2,995179501,520,6,wentworth park,2024-02-09,poo,poo
2.0,mr. hermes,6.0,34.5,11.0,222,5.61,30.76,995179501,520,7,wentworth park,2024-02-09,poo,poo
4.0,lightfoot rev,7.0,29.9,71.0,454,5.76,31.47,995179501,520,7,wentworth park,2024-02-09,poo,poo
,fancy chick,8.0,27.3,1.0,,,,995179501,520,6,wentworth park,2024-02-09,poo,poo
8.0,felony girl,1.0,25.7,61.0,886,5.75,32.12,995179502,520,7,wentworth park,2024-02-09,poo,poo
2.0,obsessive dreams,2.0,24.8,7.0,122,5.57,30.32,995179502,520,5,wentworth park,2024-02-09,poo,poo
7.0,tricky ethics,3.0,27.6,8.0,555,5.67,32.1,995179502,520,6,wentworth park,2024-02-09,poo,poo
3.0,dazzling gunn,4.0,27.6,3.7,333,5.6,30.46,995179502,520,5,wentworth park,2024-02-09,poo,poo
5.0,canya dior,5.0,27.1,17.0,477,5.75,31.5,995179502,520,6,wentworth park,2024-02-09,poo,poo
6.0,askey,6.0,28.7,5.0,668,5.69,31.7,995179502,520,5,wentworth park,2024-02-09,poo,poo
1.0,raven nighthawk,7.0,28.4,3.6,211,5.52,30.2,995179502,520,5,wentworth park,2024-02-09,poo,poo
4.0,zipping lucifer,8.0,30.5,10.0,744,5.63,30.51,995179502,520,5,wentworth park,2024-02-09,poo,poo
5.0,my boy aiden,1.0,32.9,8.5,643,5.71,31.22,995179503,520,5,wentworth park,2024-02-09,poo,poo
4.0,luigi wave,2.0,31.9,3.3,774,5.78,31.19,995179503,520,6,wentworth park,2024-02-09,poo,poo
6.0,tarawi lock star,3.0,33.6,10.0,568,5.75,31.3,995179503,520,5,wentworth park,2024-02-09,poo,poo
2.0,black book,4.0,30.4,31.0,122,5.65,30.93,995179503,520,5,wentworth park,2024-02-09,poo,poo
3.0,lobster roll,5.0,31.3,5.5,356,5.73,31.08,995179503,520,5,wentworth park,2024-02-09,poo,poo
8.0,gundangara boy,6.0,35.3,26.0,435,5.71,31.44,995179503,520,7,wentworth park,2024-02-09,poo,poo
