,RunTime,Split,Place,Date,RaceId,Distance,Weight,StartPrice,BSP,MORNINGWAP,mean_place,mean_in_race_pos,time_z_avg,split_z_avg,pred_split1,t1,t2,t3,t4,t5,last_5_avg,in_form,ctime_z_avg,csplit_z_avg,pred_split2,at_cas_dist_time,at_cas_dist_time_avg,at_cas_perc,in_form2,faster_inside,next_to_faster,collision,first_out,pir1,pir2,pir3,Win,b1,b2,b3,b4,b5,b6,b7,b8,i1,i2
0,18.06,,1,2021-04-24,660802115,324,34.6,3.2,,,4.4,1.5999999999999996,0.36263065433808517,0.12569249400006652,7.241552502519912,0.6932427723837372,0.4648370970938696,-0.20048245380645155,0.2598692572046208,0.5956865988146498,0.36263065433808517,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.0,0.2,0.5,1,0,0,0,0,0,1,0,0,0,1
1,18.19,,4,2021-04-24,660802115,324,29.0,8.0,,,5.545454545454546,0.7878787878787872,0.6149386919198503,0.7749401607629259,7.457977194285467,0.5873520582882569,-0.2213557346139485,-0.22471401993800882,0.765356644031754,-0.424612651190327,0.09640525931554529,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-0.45454545454545453,0.5454545454545454,0.36363636363636365,0,0,0,0,0,0,0,1,0,0,0
2,18.31,,5,2021-04-24,660802115,324,30.8,6.5,,,4.333333333333333,0.3333333333333339,0.28289338407818493,-0.8308512659594244,6.922691613205214,-0.18726927396914284,1.3420283346235637,-0.3141086266419414,0.2584047791170452,0.4162813477469259,0.3030673121752901,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-1.6666666666666667,-0.4444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,1
3,18.42,,6,2021-04-24,660802115,324,31.4,8.5,,,4.5,0.5,0.7144141842335133,0.3076092373860869,7.302193883505719,0.8794499024292669,0.9963478591862526,0.5649848471076517,0.08578183350144346,0.13355042633828162,0.5320229737125792,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.375,0.5,-0.25,0,0,0,0,0,0,0,0,1,0,0
4,18.59,,6,2021-04-24,660802116,324,32.5,15.0,,,4.4,-1.4000000000000004,0.9787897408461637,0.7144605065252392,7.437816489524306,1.8083252936871577,-0.12012111325248528,1.2258079300542464,1.2500908074677888,0.7298457862741111,0.9787897408461637,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.8,0.0,-0.6,0,0,0,0,0,0,0,0,1,0,0
5,18.6,,8,2021-04-24,660802116,324,31.9,4.0,,,3.6,0.8999999999999999,0.20465016144410425,0.6247039260155599,7.407896412387036,0.20974471951350462,0.18131901917511978,0.4918148726145721,0.9455992695299471,-0.8052270736126224,0.20465016144410425,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.4,0.6,0.2,0,0,1,0,0,0,0,0,0,1,0
6,18.49,,3,2021-04-24,660802117,324,25.6,31.0,,,5.071428571428571,0.5952380952380958,0.7185960933725069,0.9968278243284571,7.531942757278071,0.7545421332171947,-0.41578839128537,0.2052033155935431,1.5188396186066222,0.7545421332171947,0.5634677618698369,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.21428571428571427,0.35714285714285715,-0.07142857142857142,0,0,0,0,0,1,0,0,0,0,1
7,18.51,,4,2021-04-24,660802117,324,38.5,4.8,,,3.9,0.30000000000000027,0.17514758236494735,0.04923040765661409,7.216064103691862,2.4166674132072887,0.23894417943139426,-0.577133853724603,0.5395834654514188,0.40554744615079796,0.6047217301032594,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.7,-0.05,-0.025,0,0,0,0,0,0,0,1,0,0,0
8,18.59,,5,2021-04-24,660802117,324,29.8,6.5,,,3.857142857142857,1.1428571428571428,0.1527863438833061,-0.5144841699274976,7.028151601355595,0.20974471951350462,-0.043998228768031625,0.4127390781387354,0.6590049475435099,-0.19624399773694795,0.20824930373815403,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-1.0,-1.4285714285714286,-1.1428571428571428,0,0,0,1,0,0,0,0,0,1,0
9,18.79,,7,2021-04-24,660802117,324,32.1,4.8,,,4.291666666666667,0.08333333333333304,0.23083020864244588,0.5807511721959384,7.393244898512387,0.10824754020089372,0.3112418988261155,-0.2216182925650962,-0.17086970290879072,-0.6276070098155487,-0.12012111325248527,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.041666666666666664,0.0,0.08333333333333333,0,0,1,0,0,0,0,0,0,1,0
10,17.95,,1,2021-04-24,660802118,324,30.1,13.0,,,5.0588235294117645,0.49673202614379086,0.6660813331346684,0.5118710681357941,7.370283929912648,-0.1365335329000252,1.0026800312293411,0.3925915285036156,1.746955283341629,0.01031302841294919,0.603201267717502,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.8235294117647058,0.058823529411764705,0.11764705882352941,1,1,0,0,0,0,0,0,0,1,0
11,18.6,,7,2021-04-24,660802118,324,26.2,23.0,,,4.146341463414634,0.3991130820399116,0.4534359429078636,0.46490821749669364,7.354629009619016,-0.10529253784591766,0.2052033155935431,-0.41578839128537,0.535032080638807,1.9228011115153338,0.42839111572327926,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.4146341463414634,1.048780487804878,1.0731707317073171,0,0,0,0,1,0,0,0,0,0,1
12,18.65,,8,2021-04-24,660802118,324,33.6,17.0,,,5.8,-0.13333333333333286,0.47333396867873645,1.2190201510619876,7.606009878790792,0.36199048848242094,1.4530851660930195,0.006750360888282834,0.5634677618698336,-0.018623933939874396,0.47333396867873645,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0
13,17.86,,1,2021-04-24,660802119,324,37.6,6.5,,,3.2,0.7999999999999998,-0.06466165563764222,-0.1278052499304605,7.1570498174860555,-0.4753612408466324,0.3007405012672194,-0.6068627626327227,-0.24859831635643215,0.7067735403803566,-0.06466165563764222,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.9,0.7,0.3,1,0,0,0,1,0,0,0,0,0,1
14,17.95,,2,2021-04-24,660802119,324,27.5,3.9,,,3.6774193548387095,0.19758064516129048,-0.3252870417762578,-0.1270950103155606,7.1572865736541615,-0.35576156018355853,-0.2624687503908518,-0.6875998933114884,-1.0939873303823868,0.07437655119644981,-0.46508819661436707,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,1.0,0.3064516129032258,0.24193548387096775,0,0,0,0,0,0,1,0,0,0,1
15,18.01,,3,2021-04-24,660802119,324,32.2,3.1,,,3.6,-0.6000000000000001,-0.007030980989151664,0.02916995903605758,7.209377015494796,-0.5814868627274423,-1.2278544695116356,-0.42282006715909387,-0.9173586160721834,0.18131901917511978,-0.5936401992590471,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.9,0.0,0.4,0,0,0,0,0,0,0,1,0,0,0
16,18.07,,4,2021-04-24,660802119,324,33.5,4.0,,,3.8,0.08888888888888902,0.12952891897763966,-0.172535481384893,7.1421391338583495,1.772978691935843,-0.5529454889585952,-0.14989770507262717,0.36089394075838543,0.13618525831003,0.3134429393946072,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.25,-0.175,-0.025,0,1,0,0,0,0,0,0,0,1,0
17,18.15,,5,2021-04-24,660802119,324,33.7,11.0,,,4.666666666666667,-0.04166666666666696,0.5188789607408866,-0.006106208083410584,7.197617814828635,-0.20898888683841238,-0.44057160795919903,0.7868168139809555,-0.416624956509949,0.504772919056981,0.04508085634607519,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.8095238095238095,-0.35714285714285715,0.30952380952380953,0,0,0,0,0,1,0,0,0,0,1
18,18.33,,6,2021-04-24,660802119,324,33.1,34.0,,,5.056603773584905,0.5862533692722378,0.3094574005393163,0.6494671331519221,7.416151150518534,-0.4753612408466324,0.015660299230710183,-0.39923835636216976,-0.12012111325248528,0.006750360888282834,-0.1944620100684589,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,1.2358490566037736,0.9622641509433962,0.5,0,0,0,0,0,0,0,0,1,0,0
