Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RunTime,Split,Place,Date,RaceId,Distance,Weight,StartPrice,mean_place,mean_in_race_pos,time_z_avg,split_z_avg,pred_split1,t1,t2,t3,t4,t5,last_5_avg,in_form,ctime_z_avg,csplit_z_avg,pred_split2,at_cas_dist_time,at_cas_dist_time_avg,at_cas_perc,in_form2,t_mean_place,t_5_time_z,faster_inside,next_to_faster,collision,first_out,pir1,pir2,pir3,Win,b1,b2,b3,b4,b5,b6,b7,b8,i1,i2
0,4,4,4,22.18,,3,2018-08-25,350147802,384,24.8,3.0,5.0,-1.0,0.2801087918929773,0.1853063620831084,,-0.7528272439401797,-0.5493893931345758,0.0283412899114874,0.8098879665347338,1.6288017591812596,0.232962875710545,1,-0.0167755101647185,0.0,,-0.5472740539178942,-0.015862362960935763,0.3333333333333333,1,4.7,0.7922042770825439,0,0,1,1,2.6666666666666665,2.75,2.833333333333333,0,0,1,0,0,0,0,0,0,1,0
1,5,5,5,22.31,,4,2018-08-25,350147802,384,27.4,6.0,4.714285714285714,-1.380952380952381,0.9067511338841776,0.0,,0.6744100603780627,0.3377467781586946,1.3056976555721551,0.7111735955063282,0.7955615245375441,0.764917922830557,1,1.1160961697040463,0.0,,0.000875282279534338,0.000875282279534338,0.2857142857142857,0,3.909090909090909,0.3769970937583469,0,0,0,1,4.5,4.5,4.5,0,0,0,1,0,0,0,0,0,1,0
2,6,6,6,22.33,,5,2018-08-25,350147802,384,32.5,6.0,4.6,-0.9333333333333332,0.1017035924704878,0.0,,0.7245203279439463,0.4153451873391267,0.2344574535003079,-0.8556125773417084,-0.0101924290892333,0.1017035924704878,0,0.3249013204197173,0.0,,0.23480352899989315,0.32504325010578783,0.4,1,4.56,-0.2140751604732231,0,0,0,1,4.5,4.5,4.5,0,0,0,0,0,0,1,0,0,0,1
3,7,7,7,22.28,,4,2018-08-25,350147803,384,32.8,4.0,2.6,-0.6000000000000001,-0.6636086837663437,0.0,,-0.5325495427966992,-0.268008473829745,-0.973626690424994,-0.7704744011597979,-0.7733843106204825,-0.6636086837663437,0,-0.5192414374947715,0.0,,-0.7678600388434225,-0.5171941468825936,0.4,1,3.0,0.7198863532550497,0,0,1,1,4.5,4.5,4.5,0,0,0,0,0,0,0,0,1,0,0
4,8,8,8,22.28,,5,2018-08-25,350147803,384,30.1,3.0,3.5,3.0,-0.0436383160239913,0.1296540078921985,,-0.8106716753462012,0.0694554232721003,-0.8709675866258099,0.5649848471076517,-0.2848812769165404,-0.2664160537017599,1,-0.8408196309860055,0.0,,-0.8681263956277554,-0.8380464885924548,0.3333333333333333,1,4.30188679245283,0.2614488781192799,0,0,0,1,4.083333333333333,4.25,3.75,0,0,0,0,1,0,0,0,0,0,1
5,9,9,9,22.02,,2,2018-08-25,350147805,384,26.7,4.0,4.571428571428571,-0.5714285714285712,-0.2517288872425449,-0.1786076614556855,,0.5156991690329954,0.7545421332171947,-0.4635569841222081,-1.1540137586758683,-0.7163490234114392,-0.2127356927918651,0,0.0,0.0,,0.000875282279534338,0.000875282279534338,0.0,0,4.083333333333333,-0.4242364596985137,0,0,0,1,0.5714285714285714,0.7142857142857143,1.0,0,0,0,0,0,0,0,0,1,0,0
6,10,10,10,22.14,,4,2018-08-25,350147805,384,30.5,2.2,4.0,-3.0,-0.0346122114334098,0.135350971733676,,0.4799082046763961,2.0389223820732822,-1.7754062558199035,0.2290876120119579,-1.1455730001087818,-0.0346122114334098,0,-1.7754062558199035,0.0,,-1.770523606686738,-1.770523606686738,0.2,0,4.0,0.734207698190444,0,0,1,1,2.3,3.1,2.9,0,0,0,0,0,0,1,0,0,0,1
7,11,11,11,22.57,,6,2018-08-25,350147805,384,27.0,5.0,5.142857142857143,-0.3928571428571432,-0.1460052501833189,-0.0096564748737769,,0.4842474969999233,-1.1523485059306406,-0.1291768342643325,-0.3120109689825479,1.0889222830750618,-0.0040733058205071,0,-1.1523485059306406,0.0,,-1.148872194623885,-1.148872194623885,0.1428571428571428,0,4.30188679245283,0.2614488781192799,0,0,0,1,2.357142857142857,2.642857142857143,3.2142857142857144,0,0,1,0,0,0,0,0,0,1,0
8,12,12,12,22.04,,1,2018-08-25,350147807,384,33.9,6.0,3.4,0.0,-0.1579798436048682,0.0388502644243655,,-0.5493893931345758,-0.3733506907773411,0.1345547214056032,0.52498565493877,-0.5266995104567977,-0.1579798436048682,0,-0.0122018690979028,0.0,,-0.5472740539178942,-0.5472740539178942,0.4,0,3.909090909090909,0.3769970937583469,0,0,0,1,3.6,3.6,3.6,1,0,0,0,0,0,0,1,0,0,0
9,13,13,13,22.57,,3,2018-08-25,350147807,384,30.5,7.0,5.857142857142857,0.8095238095238102,-0.2479250510578299,0.0,,-0.0127728434491254,-0.3215064566268541,-0.5292907560413777,-0.506142443776495,-0.0101924290892333,-0.2759809857966171,1,-0.418748252028763,0.0,,-0.5272207825610319,-0.4169277900982606,0.2857142857142857,1,4.56,-0.2140751604732231,0,0,1,1,4.5,4.5,4.5,0,0,1,0,0,0,0,0,0,1,0
10,14,14,14,22.79,,5,2018-08-25,350147807,384,26.9,7.0,3.8,-2.8,0.2450955182798938,0.138585321583108,,0.6307482158411586,0.0133724454750857,1.3317417738994206,-0.4086989334821603,-0.341685910334036,0.2450955182798938,0,-0.1976632440035373,0.0,,-0.40690115441982944,-0.19634180517273228,0.4,1,4.733333333333333,0.108859867938801,0,0,1,1,3.6,3.6,3.6,0,0,0,1,0,0,0,0,0,1,0
11,15,15,15,22.95,,6,2018-08-25,350147807,384,32.5,4.0,4.666666666666667,-3.666666666666667,0.7107766167693245,0.0,,2.621755028068428,-0.0950011101703585,-0.2881071109229502,-0.6089277771780309,0.8871244738133088,0.5033687007220793,1,1.166823958572739,0.0,,-0.2865815262786341,-0.2865815262786341,0.3333333333333333,0,4.958333333333333,0.217875465409834,0,0,0,1,4.5,4.5,4.5,0,1,0,0,0,0,0,0,0,1,0
12,16,16,16,22.39,,1,2018-08-25,350147808,384,24.4,5.0,3.7142857142857135,0.9523809523809526,0.0853408959185312,0.0,,0.357254356796398,0.1511200360271574,0.0334710825682838,0.6039391569600755,-0.4884418280338705,0.1314685608636088,0,0.0435204011148865,0.0,,0.03427081543122717,0.04429745110965833,0.2857142857142857,1,4.958333333333333,0.217875465409834,0,0,0,1,4.5,4.5,4.5,1,0,0,0,0,0,0,0,1,0,0
