,DogName,RunTime,Split,Place,Date,RaceId,Distance,Weight,StartPrice,mean_place,mean_in_race_pos,time_z_avg,split_z_avg,pred_split1,t1,t2,t3,t4,t5,last_5_avg,in_form,ctime_z_avg,csplit_z_avg,pred_split2,at_cas_dist_time,at_cas_dist_time_avg,at_cas_perc,in_form2,faster_inside,next_to_faster,collision,first_out,pir1,pir2,pir3,Win,b1,b2,b3,b4,b5,b6,b7,b8,i1,i2,price
0,fox key,18.06,,1,2021-04-24,660802115,324,34.6,3.2,4.4,1.5999999999999996,0.3626306543380851,0.1256924940000665,7.241552502519912,0.6932427723837372,0.4648370970938696,-0.2004824538064515,0.2598692572046208,0.5956865988146498,0.3626306543380851,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.0,0.2,0.5,1,0,0,0,0,0,1,0,0,0,1,
1,zig zag banjo,18.19,,4,2021-04-24,660802115,324,29.0,8.0,5.545454545454546,0.7878787878787872,0.6149386919198503,0.7749401607629259,7.457977194285467,0.5873520582882569,-0.2213557346139485,-0.2247140199380088,0.765356644031754,-0.424612651190327,0.0964052593155452,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-0.4545454545454545,0.5454545454545454,0.3636363636363636,0,0,0,0,0,0,0,1,0,0,0,
2,fire fly thunder,18.31,,5,2021-04-24,660802115,324,30.8,6.5,4.333333333333333,0.3333333333333339,0.2828933840781849,-0.8308512659594244,6.922691613205214,-0.1872692739691428,1.3420283346235635,-0.3141086266419414,0.2584047791170452,0.4162813477469259,0.3030673121752901,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-1.6666666666666667,-0.4444444444444444,0.0,0,0,0,0,0,1,0,0,0,0,1,
3,something fab,18.42,,6,2021-04-24,660802115,324,31.4,8.5,4.5,0.5,0.7144141842335133,0.3076092373860869,7.302193883505719,0.8794499024292669,0.9963478591862526,0.5649848471076517,0.0857818335014434,0.1335504263382816,0.5320229737125792,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.375,0.5,-0.25,0,0,0,0,0,0,0,0,1,0,0,
4,bumpy bill,18.59,,6,2021-04-24,660802116,324,32.5,15.0,4.4,-1.4000000000000004,0.9787897408461635,0.7144605065252392,7.437816489524306,1.8083252936871577,-0.1201211132524852,1.2258079300542464,1.2500908074677888,0.7298457862741111,0.9787897408461635,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.8,0.0,-0.6,0,0,0,0,0,0,0,0,1,0,0,
5,like a fox,18.6,,8,2021-04-24,660802116,324,31.9,4.0,3.6,0.8999999999999999,0.2046501614441042,0.6247039260155599,7.407896412387036,0.2097447195135046,0.1813190191751197,0.4918148726145721,0.9455992695299472,-0.8052270736126224,0.2046501614441042,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.4,0.6,0.2,0,0,1,0,0,0,0,0,0,1,0,
6,sooky lala,18.6,,8,2021-04-24,660802116,324,31.9,4.0,3.6,0.8999999999999999,0.2046501614441042,0.6247039260155599,7.407896412387036,0.2097447195135046,0.1813190191751197,0.4918148726145721,0.9455992695299472,-0.8052270736126224,0.2046501614441042,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.4,0.6,0.2,0,0,1,0,0,0,0,0,0,1,0,
7,amanda ballo,18.49,,3,2021-04-24,660802117,324,25.6,31.0,5.071428571428571,0.5952380952380958,0.7185960933725069,0.9968278243284572,7.531942757278071,0.7545421332171947,-0.41578839128537,0.2052033155935431,1.5188396186066222,0.7545421332171947,0.5634677618698369,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,-0.2142857142857142,0.3571428571428571,-0.0714285714285714,0,0,0,0,0,1,0,0,0,0,1,
8,nick's tank,18.51,,4,2021-04-24,660802117,324,38.5,4.8,3.9,0.3000000000000002,0.1751475823649473,0.049230407656614,7.216064103691862,2.4166674132072887,0.2389441794313942,-0.577133853724603,0.5395834654514188,0.4055474461507979,0.6047217301032594,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.7,-0.05,-0.025,0,0,0,0,0,0,0,1,0,0,0,
9,my boy max,18.59,,5,2021-04-24,660802117,324,29.8,6.5,3.857142857142857,1.1428571428571428,0.1527863438833061,-0.5144841699274976,7.028151601355595,0.2097447195135046,-0.0439982287680316,0.4127390781387354,0.6590049475435099,-0.1962439977369479,0.208249303738154,0,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,-1.0,-1.4285714285714286,-1.1428571428571428,0,0,0,1,0,0,0,0,0,1,0,
10,turbo tuxedo,18.79,,7,2021-04-24,660802117,324,32.1,4.8,4.291666666666667,0.083333333333333,0.2308302086424458,0.5807511721959384,7.393244898512387,0.1082475402008937,0.3112418988261155,-0.2216182925650962,-0.1708697029087907,-0.6276070098155487,-0.1201211132524852,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,0,1,0.0416666666666666,0.0,0.0833333333333333,0,0,1,0,0,0,0,0,0,1,0,
11,magic bow,17.95,,1,2021-04-24,660802118,324,30.1,13.0,5.0588235294117645,0.4967320261437908,0.6660813331346684,0.5118710681357941,7.370283929912648,-0.1365335329000252,1.0026800312293411,0.3925915285036156,1.746955283341629,0.0103130284129491,0.603201267717502,1,0.0,0.0,7.199653300314316,0.0,0.0,0.0,0,0,0,1,1,0.8235294117647058,0.0588235294117647,0.1176470588235294,1,1,0,0,0,0,0,0,0,1,0,
