,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Barefoot Flynn (1),John Thompson,30.5,0.0,5.69,53.0,35.4kg,$5.50,520,MA5,28/09/2023,albion-park
1,2,Springtime Storm (4),Sean Galloway,30.54,0.75,5.69,41.0,33.2kg,$2.00,520,MA5,28/09/2023,albion-park
2,3,Long Black Lass (3),Mark Rothwell,30.78,4.0,5.76,74.0,27.7kg,$5.00,520,MA5,28/09/2023,albion-park
3,4,Bella's Blessed (2),Paul Cauchi,30.81,4.25,5.64,12.0,25.5kg,$8.50,520,MA5,28/09/2023,albion-park
4,5,Red Fire Ball (7),Renald Attard,31.05,7.75,5.75,67.0,31.9kg,$12.00,520,MA5,28/09/2023,albion-park
5,6,Stardust Dreams (6),Stephen Woods,31.06,8.0,5.66,25.0,31.0kg,$41.00,520,MA5,28/09/2023,albion-park
6,7,Bless Shoe (5),Patricia Kent,31.08,8.25,5.67,36.0,24.6kg,$17.00,520,MA5,28/09/2023,albion-park
7,8,Climb A Rainbow (8),Garry Gilbert,31.49,14.0,5.8,88.0,31.5kg,$16.00,520,MA5,28/09/2023,albion-park
8,1,Boots (3),Nicole Price,30.8,0.0,5.31,11111.0,30.6kg,$3.60,530,6,28/09/2023,angle-park
9,2,Quest For Extra (6),Clint Trengove,31.02,3.0,5.39,54332.0,32.3kg,$1.85,530,6,28/09/2023,angle-park
10,3,Rockin' Rhino (2),Ashlee Griffiths,31.1,4.25,5.35,32223.0,34.5kg,$4.50,530,6,28/09/2023,angle-park
11,4,Gemtree Apollo (4),Paul Rehmann,31.1,4.25,5.38,43444.0,36.7kg,$24.00,530,6,28/09/2023,angle-park
12,5,Ambrose Bale (8),Madalyn Schulz,31.27,6.5,5.48,76665.0,30.4kg,$51.00,530,6,28/09/2023,angle-park
13,6,Beauty You (7),Debra Stuppos,31.31,7.25,5.33,25556.0,29.8kg,$29.00,530,6,28/09/2023,angle-park
14,7,Stunning Ethics (1),Michael Stewart,32.05,17.75,5.47,67777.0,28.7kg,$16.00,530,6,28/09/2023,angle-park
