,Unnamed: 0,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,0,1,Gus Gus (4),Eric Honeyman,23.1,0.0,10.88,3.0,36.8kg,$5.00,395,MA5,15/11/2023,albion-park
1,1,2,Rough System (3),Michael Edwards,23.13,0.5,10.53,1.0,23.2kg,$6.00,395,MA5,15/11/2023,albion-park
2,2,3,Human Touch (7),Kevin Kemp,23.29,2.5,11.02,6.0,29.7kg,$24.00,395,MA5,15/11/2023,albion-park
3,3,4,Polly's Courier (2),Robert Purtle,23.52,6.0,11.04,7.0,22.4kg,$5.50,395,MA5,15/11/2023,albion-park
4,4,5,Swift Revenge (8),Kerry Bussian,23.56,6.5,10.98,4.0,32.1kg,$21.00,395,MA5,15/11/2023,albion-park
5,5,6,Add To Cart (6),Christi Ann Lombe,23.61,7.25,11.05,8.0,34.0kg,$17.00,395,MA5,15/11/2023,albion-park
6,6,7,Cool Hand Jane (5),Sergio Livotto,23.65,7.75,10.87,2.0,25.8kg,$41.00,395,MA5,15/11/2023,albion-park
7,7,8,Charlie's Flyer (1),Noel Murdoch,23.68,8.25,11.0,5.0,28.2kg,$2.00,395,MA5,15/11/2023,albion-park
8,8,1,Homebush Amy (6),John Mcinerney,23.08,0.0,,441.0,28.4kg,$0.00,390,C0,15/11/2023,ascot-park
9,9,2,Manhattan (4),J & D Fahey,23.29,3.3,,652.0,32.4kg,$0.00,390,C0,15/11/2023,ascot-park
10,10,3,Homebush Molly (1),John Mcinerney,23.41,5.3,,263.0,26.6kg,$0.00,390,C0,15/11/2023,ascot-park
11,11,4,Mayfield Minx (8),Richard P Breen,23.43,5.6,,534.0,25.6kg,$0.00,390,C0,15/11/2023,ascot-park
12,12,5,Miss Maudie (7),John Mcinerney,23.48,6.4,,315.0,24.9kg,$0.00,390,C0,15/11/2023,ascot-park
13,13,6,Homebush Caleb (5),John Mcinerney,23.5,6.7,5.36,126.0,32.1kg,$0.00,390,C0,15/11/2023,ascot-park
14,14,7,Love Me Too (3),John Mcinerney,23.58,8.0,,777.0,27.8kg,$0.00,390,C0,15/11/2023,ascot-park
15,15,1,Zara Jem (3),Al Hart & Dj Voyce,22.82,0.0,5.38,111.0,27.3kg,$0.00,390,C0,15/11/2023,ascot-park
16,16,2,April Baxter (7),John Mcinerney,23.48,10.5,,532.0,26.0kg,$0.00,390,C0,15/11/2023,ascot-park
17,17,3,Pukeko Dot (1),Barry R Healey,23.49,10.7,,223.0,25.2kg,$0.00,390,C0,15/11/2023,ascot-park
18,18,4,Kate Baxter (8),John Mcinerney,23.54,11.5,,744.0,25.6kg,$0.00,390,C0,15/11/2023,ascot-park
19,19,5,Homebush Corey (6),John Mcinerney,23.78,15.3,,665.0,33.7kg,$0.00,390,C0,15/11/2023,ascot-park
