,Place,DogName,Box,Weight,StartPrice,PIR,Split,RunTime,RaceId,Distance,RaceGrade,Track,date,TrainerLName,TrainerFName
0,1.0,raine allen,1.0,27.4,2.4,111,6.68,28.66,335811282,500,Restricted Win,bendigo,2018-07-01,Grenfell,C
1,2.0,surf a lot,2.0,32.8,6.3,332,7.01,28.82,335811282,500,Restricted Win,bendigo,2018-07-01,Tyley,C
2,3.0,pingin' bee,6.0,25.5,9.3,443,7.24,28.93,335811282,500,Restricted Win,bendigo,2018-07-01,Dapiran,P
3,4.0,lucas the great,7.0,32.2,9.1,655,7.31,29.03,335811282,500,Restricted Win,bendigo,2018-07-01,Hamilton,E
4,5.0,quavo,4.0,28.9,3.4,766,7.38,29.05,335811282,500,Restricted Win,bendigo,2018-07-01,Dapiran,P
5,6.0,nellie shan,8.0,29.9,36.3,224,6.79,29.14,335811282,500,Restricted Win,bendigo,2018-07-01,Tolson,R
6,1.0,big flood,5.0,34.7,2.6,111,6.52,23.64,335811293,425,S/E Heat,bendigo,2018-07-01,Thompson,S
7,2.0,rock up top,4.0,32.3,8.1,322,6.66,23.83,335811293,425,S/E Heat,bendigo,2018-07-01,Britton,R
8,3.0,vanda mick,2.0,31.2,17.5,654,6.8,23.9,335811293,425,S/E Heat,bendigo,2018-07-01,Ellis,M
9,4.0,black mumbo,8.0,34.9,4.6,537,6.77,23.98,335811293,425,S/E Heat,bendigo,2018-07-01,Karabitsakos,A
10,5.0,fast car driving,6.0,29.9,4.3,876,6.85,24.18,335811293,425,S/E Heat,bendigo,2018-07-01,Britton,J
11,6.0,dr. mortikye,3.0,33.2,67.2,765,6.82,24.32,335811293,425,S/E Heat,bendigo,2018-07-01,Gill,J
12,7.0,turbo tom,1.0,32.9,8.9,243,6.59,24.58,335811293,425,S/E Heat,bendigo,2018-07-01,Abela,P
13,8.0,poor old frank,7.0,32.7,25.4,488,6.73,24.64,335811293,425,S/E Heat,bendigo,2018-07-01,Vincent,N
14,1.0,black forge,5.0,33.3,2.7,111,6.5,23.76,335811292,425,S/E Heat,bendigo,2018-07-01,Sultana,D
15,2.0,slingshot whippa,4.0,28.7,5.8,322,6.61,23.91,335811292,425,S/E Heat,bendigo,2018-07-01,Britton,R
16,3.0,my name's david,3.0,36.0,15.1,543,6.66,23.96,335811292,425,S/E Heat,bendigo,2018-07-01,Ferguson,A
17,4.0,are you,6.0,32.0,20.6,864,6.79,24.02,335811292,425,S/E Heat,bendigo,2018-07-01,Hamilton,E
18,5.0,petadale,2.0,35.7,6.8,235,6.59,24.16,335811292,425,S/E Heat,bendigo,2018-07-01,Douch,D
19,6.0,kouta mayhem,7.0,34.9,3.6,456,6.66,24.16,335811292,425,S/E Heat,bendigo,2018-07-01,Sharp,J
20,7.0,hogwash,8.0,30.2,18.6,777,6.75,24.4,335811292,425,S/E Heat,bendigo,2018-07-01,French,C
21,8.0,apache bro,1.0,34.9,24.9,688,6.72,24.48,335811292,425,S/E Heat,bendigo,2018-07-01,Galea,J
22,1.0,bernardo,3.0,34.0,2.6,111,6.53,23.75,335811291,425,S/E Heat,bendigo,2018-07-01,McMahon,W
